group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt,2,41,,,232575.0,events,3562
pow_alt,2,41,,,464105.0,events,7124
pow_alt,2,41,,,695635.0,events,10686
pow_alt,2,41,,,927165.0,events,14248
pow_alt,2,41,,,1158695.0,events,17810
pow_alt,2,41,,,1390225.0,events,21372
pow_alt,2,41,,,1621755.0,events,24934
pow_alt,2,41,,,1853285.0,events,28496
pow_alt,2,41,,,2084815.0,events,32058
pow_alt,2,41,,,2316345.0,events,35620
pow_alt,2,41,,,2547875.0,events,39182
pow_alt,2,41,,,2779405.0,events,42744
pow_alt,2,41,,,3010935.0,events,46306
pow_alt,2,41,,,3242465.0,events,49868
pow_alt,2,41,,,3473995.0,events,53430
pow_alt,2,41,,,3705525.0,events,56992
pow_alt,2,41,,,3937055.0,events,60554
pow_alt,2,41,,,4168585.0,events,64116
pow_alt,2,41,,,4404458.0,events,67678
pow_alt,2,41,,,4631645.0,events,71240
pow_alt,2,41,,,4863175.0,events,74802
pow_alt,2,41,,,5094705.0,events,78364
pow_alt,2,41,,,5326235.0,events,81926
pow_alt,2,41,,,5557765.0,events,85488
pow_alt,2,41,,,5789295.0,events,89050
pow_alt,2,41,,,6020825.0,events,92612
pow_alt,2,41,,,6252355.0,events,96174
pow_alt,2,41,,,6488058.0,events,99736
pow_alt,2,41,,,6715415.0,events,103298
pow_alt,2,41,,,6946945.0,events,106860
pow_alt,2,41,,,7178475.0,events,110422
pow_alt,2,41,,,7410005.0,events,113984
pow_alt,2,41,,,7641535.0,events,117546
pow_alt,2,41,,,7873065.0,events,121108
pow_alt,2,41,,,8108768.0,events,124670
pow_alt,2,41,,,8336125.0,events,128232
pow_alt,2,41,,,8567655.0,events,131794
pow_alt,2,41,,,8799185.0,events,135356
pow_alt,2,41,,,9030715.0,events,138918
pow_alt,2,41,,,9266576.0,events,142480
pow_alt,2,41,,,9493775.0,events,146042
pow_alt,2,41,,,9725305.0,events,149604
pow_alt,2,41,,,9956835.0,events,153166
pow_alt,2,41,,,10188365.0,events,156728
pow_alt,2,41,,,10424082.0,events,160290
pow_alt,2,41,,,10651425.0,events,163852
pow_alt,2,41,,,10882955.0,events,167414
pow_alt,2,41,,,11114485.0,events,170976
pow_alt,2,41,,,11350188.0,events,174538
pow_alt,2,41,,,11577545.0,events,178100
pow_alt,2,41,,,11809075.0,events,181662
pow_alt,2,41,,,12040605.0,events,185224
pow_alt,2,41,,,12272135.0,events,188786
pow_alt,2,41,,,12507986.0,events,192348
pow_alt,2,41,,,12735195.0,events,195910
pow_alt,2,41,,,12966725.0,events,199472
pow_alt,2,41,,,13202428.0,events,203034
pow_alt,2,41,,,13429785.0,events,206596
pow_alt,2,41,,,13661315.0,events,210158
pow_alt,2,41,,,13892845.0,events,213720
pow_alt,2,41,,,14128738.0,events,217282
pow_alt,2,41,,,14355905.0,events,220844
pow_alt,2,41,,,14587435.0,events,224406
pow_alt,2,41,,,14823297.0,events,227968
pow_alt,2,41,,,15050495.0,events,231530
pow_alt,2,41,,,15282025.0,events,235092
pow_alt,2,41,,,15517728.0,events,238654
pow_alt,2,41,,,15745085.0,events,242216
pow_alt,2,41,,,15976615.0,events,245778
pow_alt,2,41,,,16212318.0,events,249340
pow_alt,2,41,,,16439675.0,events,252902
pow_alt,2,41,,,16671205.0,events,256464
pow_alt,2,41,,,16907056.0,events,260026
pow_alt,2,41,,,17134265.0,events,263588
pow_alt,2,41,,,17365795.0,events,267150
pow_alt,2,41,,,17601508.0,events,270712
pow_alt,2,41,,,17828855.0,events,274274
pow_alt,2,41,,,18060385.0,events,277836
pow_alt,2,41,,,18296099.0,events,281398
pow_alt,2,41,,,18523445.0,events,284960
pow_alt,2,41,,,18759296.0,events,288522
pow_alt,2,41,,,18986505.0,events,292084
pow_alt,2,41,,,19218035.0,events,295646
pow_alt,2,41,,,19455912.0,events,299208
pow_alt,2,41,,,19681095.0,events,302770
pow_alt,2,41,,,19916956.0,events,306332
pow_alt,2,41,,,20144155.0,events,309894
pow_alt,2,41,,,20375685.0,events,313456
pow_alt,2,41,,,20611546.0,events,317018
pow_alt,2,41,,,20838745.0,events,320580
pow_alt,2,41,,,21074459.0,events,324142
pow_alt,2,41,,,21301805.0,events,327704
pow_alt,2,41,,,21537508.0,events,331266
pow_alt,2,41,,,21764865.0,events,334828
pow_alt,2,41,,,21996395.0,events,338390
pow_alt,2,41,,,22232246.0,events,341952
pow_alt,2,41,,,22459455.0,events,345514
pow_alt,2,41,,,22695158.0,events,349076
pow_alt,2,41,,,22922515.0,events,352638
pow_alt,2,41,,,23158228.0,events,356200
