group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_012opt,4,3,,,221776.0,events,10511
pow_alt_012opt,4,3,,,442507.0,events,21022
pow_alt_012opt,4,3,,,663238.0,events,31533
pow_alt_012opt,4,3,,,883969.0,events,42044
pow_alt_012opt,4,3,,,1104700.0,events,52555
pow_alt_012opt,4,3,,,1325431.0,events,63066
pow_alt_012opt,4,3,,,1553034.0,events,73577
pow_alt_012opt,4,3,,,1766893.0,events,84088
pow_alt_012opt,4,3,,,1987624.0,events,94599
pow_alt_012opt,4,3,,,2208355.0,events,105110
pow_alt_012opt,4,3,,,2429086.0,events,115621
pow_alt_012opt,4,3,,,2649817.0,events,126132
pow_alt_012opt,4,3,,,2870548.0,events,136643
pow_alt_012opt,4,3,,,3091279.0,events,147154
pow_alt_012opt,4,3,,,3312010.0,events,157665
pow_alt_012opt,4,3,,,3532741.0,events,168176
pow_alt_012opt,4,3,,,3753472.0,events,178687
pow_alt_012opt,4,3,,,3974203.0,events,189198
pow_alt_012opt,4,3,,,4194934.0,events,199709
pow_alt_012opt,4,3,,,4415665.0,events,210220
pow_alt_012opt,4,3,,,4636396.0,events,220731
pow_alt_012opt,4,3,,,4861580.0,events,231242
pow_alt_012opt,4,3,,,5077858.0,events,241753
pow_alt_012opt,4,3,,,5298589.0,events,252264
pow_alt_012opt,4,3,,,5519320.0,events,262775
pow_alt_012opt,4,3,,,5740051.0,events,273286
pow_alt_012opt,4,3,,,5960782.0,events,283797
pow_alt_012opt,4,3,,,6181513.0,events,294308
pow_alt_012opt,4,3,,,6402244.0,events,304819
pow_alt_012opt,4,3,,,6627276.0,events,315330
pow_alt_012opt,4,3,,,6843706.0,events,325841
pow_alt_012opt,4,3,,,7064437.0,events,336352
pow_alt_012opt,4,3,,,7285168.0,events,346863
pow_alt_012opt,4,3,,,7505899.0,events,357374
pow_alt_012opt,4,3,,,7726630.0,events,367885
pow_alt_012opt,4,3,,,7951939.0,events,378396
pow_alt_012opt,4,3,,,8168092.0,events,388907
pow_alt_012opt,4,3,,,8388823.0,events,399418
pow_alt_012opt,4,3,,,8609554.0,events,409929
pow_alt_012opt,4,3,,,8830285.0,events,420440
pow_alt_012opt,4,3,,,9051016.0,events,430951
pow_alt_012opt,4,3,,,9276309.0,events,441462
pow_alt_012opt,4,3,,,9492478.0,events,451973
pow_alt_012opt,4,3,,,9713209.0,events,462484
pow_alt_012opt,4,3,,,9933940.0,events,472995
pow_alt_012opt,4,3,,,10154671.0,events,483506
pow_alt_012opt,4,3,,,10379820.0,events,494017
pow_alt_012opt,4,3,,,10596133.0,events,504528
pow_alt_012opt,4,3,,,10816864.0,events,515039
pow_alt_012opt,4,3,,,11037595.0,events,525550
pow_alt_012opt,4,3,,,11262754.0,events,536061
pow_alt_012opt,4,3,,,11479057.0,events,546572
pow_alt_012opt,4,3,,,11699788.0,events,557083
pow_alt_012opt,4,3,,,11920519.0,events,567594
pow_alt_012opt,4,3,,,12145826.0,events,578105
pow_alt_012opt,4,3,,,12361981.0,events,588616
pow_alt_012opt,4,3,,,12582712.0,events,599127
pow_alt_012opt,4,3,,,12803443.0,events,609638
pow_alt_012opt,4,3,,,13028610.0,events,620149
pow_alt_012opt,4,3,,,13244905.0,events,630660
pow_alt_012opt,4,3,,,13465636.0,events,641171
pow_alt_012opt,4,3,,,13690822.0,events,651682
pow_alt_012opt,4,3,,,13907098.0,events,662193
pow_alt_012opt,4,3,,,14127829.0,events,672704
pow_alt_012opt,4,3,,,14353293.0,events,683215
pow_alt_012opt,4,3,,,14569291.0,events,693726
pow_alt_012opt,4,3,,,14790022.0,events,704237
pow_alt_012opt,4,3,,,15015054.0,events,714748
pow_alt_012opt,4,3,,,15231484.0,events,725259
pow_alt_012opt,4,3,,,15452215.0,events,735770
pow_alt_012opt,4,3,,,15677319.0,events,746281
pow_alt_012opt,4,3,,,15898621.0,events,756792
pow_alt_012opt,4,3,,,16114408.0,events,767303
pow_alt_012opt,4,3,,,16339226.0,events,777814
pow_alt_012opt,4,3,,,16558205.0,events,788325
pow_alt_012opt,4,3,,,16781663.0,events,798836
pow_alt_012opt,4,3,,,16997332.0,events,809347
pow_alt_012opt,4,3,,,17222488.0,events,819858
pow_alt_012opt,4,3,,,17438794.0,events,830369
pow_alt_012opt,4,3,,,17663788.0,events,840880
pow_alt_012opt,4,3,,,17881540.0,events,851391
pow_alt_012opt,4,3,,,18105397.0,events,861902
pow_alt_012opt,4,3,,,18321718.0,events,872413
pow_alt_012opt,4,3,,,18548367.0,events,882924
pow_alt_012opt,4,3,,,18769293.0,events,893435
pow_alt_012opt,4,3,,,18988311.0,events,903946
pow_alt_012opt,4,3,,,19204642.0,events,914457
pow_alt_012opt,4,3,,,19446627.0,events,924968
pow_alt_012opt,4,3,,,19650547.0,events,935479
pow_alt_012opt,4,3,,,19866835.0,events,945990
pow_alt_012opt,4,3,,,20092493.0,events,956501
pow_alt_012opt,4,3,,,20312814.0,events,967012
pow_alt_012opt,4,3,,,20529028.0,events,977523
pow_alt_012opt,4,3,,,20753846.0,events,988034
pow_alt_012opt,4,3,,,20970490.0,events,998545
pow_alt_012opt,4,3,,,21191221.0,events,1009056
pow_alt_012opt,4,3,,,21416362.0,events,1019567
pow_alt_012opt,4,3,,,21632683.0,events,1030078
pow_alt_012opt,4,3,,,21857720.0,events,1040589
pow_alt_012opt,4,3,,,22074145.0,events,1051100
