group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_2opt_inline,2,15,,,80207.0,events,3958
pow_alt_2opt_inline,2,15,,,159367.0,events,7916
pow_alt_2opt_inline,2,15,,,238527.0,events,11874
pow_alt_2opt_inline,2,15,,,317687.0,events,15832
pow_alt_2opt_inline,2,15,,,396847.0,events,19790
pow_alt_2opt_inline,2,15,,,476007.0,events,23748
pow_alt_2opt_inline,2,15,,,555167.0,events,27706
pow_alt_2opt_inline,2,15,,,638539.0,events,31664
pow_alt_2opt_inline,2,15,,,713487.0,events,35622
pow_alt_2opt_inline,2,15,,,792647.0,events,39580
pow_alt_2opt_inline,2,15,,,871807.0,events,43538
pow_alt_2opt_inline,2,15,,,950967.0,events,47496
pow_alt_2opt_inline,2,15,,,1030127.0,events,51454
pow_alt_2opt_inline,2,15,,,1109287.0,events,55412
pow_alt_2opt_inline,2,15,,,1188447.0,events,59370
pow_alt_2opt_inline,2,15,,,1267607.0,events,63328
pow_alt_2opt_inline,2,15,,,1346767.0,events,67286
pow_alt_2opt_inline,2,15,,,1425927.0,events,71244
pow_alt_2opt_inline,2,15,,,1505087.0,events,75202
pow_alt_2opt_inline,2,15,,,1584247.0,events,79160
pow_alt_2opt_inline,2,15,,,1663407.0,events,83118
pow_alt_2opt_inline,2,15,,,1746880.0,events,87076
pow_alt_2opt_inline,2,15,,,1821727.0,events,91034
pow_alt_2opt_inline,2,15,,,1900887.0,events,94992
pow_alt_2opt_inline,2,15,,,1980047.0,events,98950
pow_alt_2opt_inline,2,15,,,2059207.0,events,102908
pow_alt_2opt_inline,2,15,,,2138367.0,events,106866
pow_alt_2opt_inline,2,15,,,2217527.0,events,110824
pow_alt_2opt_inline,2,15,,,2296687.0,events,114782
pow_alt_2opt_inline,2,15,,,2379991.0,events,118740
pow_alt_2opt_inline,2,15,,,2455007.0,events,122698
pow_alt_2opt_inline,2,15,,,2534167.0,events,126656
pow_alt_2opt_inline,2,15,,,2613327.0,events,130614
pow_alt_2opt_inline,2,15,,,2692487.0,events,134572
pow_alt_2opt_inline,2,15,,,2771647.0,events,138530
pow_alt_2opt_inline,2,15,,,2854950.0,events,142488
pow_alt_2opt_inline,2,15,,,2929967.0,events,146446
pow_alt_2opt_inline,2,15,,,3009127.0,events,150404
pow_alt_2opt_inline,2,15,,,3088287.0,events,154362
pow_alt_2opt_inline,2,15,,,3167447.0,events,158320
pow_alt_2opt_inline,2,15,,,3246607.0,events,162278
pow_alt_2opt_inline,2,15,,,3330062.0,events,166236
pow_alt_2opt_inline,2,15,,,3404927.0,events,170194
pow_alt_2opt_inline,2,15,,,3484087.0,events,174152
pow_alt_2opt_inline,2,15,,,3563247.0,events,178110
pow_alt_2opt_inline,2,15,,,3642407.0,events,182068
pow_alt_2opt_inline,2,15,,,3725710.0,events,186026
pow_alt_2opt_inline,2,15,,,3800727.0,events,189984
pow_alt_2opt_inline,2,15,,,3879887.0,events,193942
pow_alt_2opt_inline,2,15,,,3959047.0,events,197900
pow_alt_2opt_inline,2,15,,,4042351.0,events,201858
pow_alt_2opt_inline,2,15,,,4117367.0,events,205816
pow_alt_2opt_inline,2,15,,,4196527.0,events,209774
pow_alt_2opt_inline,2,15,,,4275687.0,events,213732
pow_alt_2opt_inline,2,15,,,4359128.0,events,217690
pow_alt_2opt_inline,2,15,,,4434007.0,events,221648
pow_alt_2opt_inline,2,15,,,4513167.0,events,225606
pow_alt_2opt_inline,2,15,,,4592327.0,events,229564
pow_alt_2opt_inline,2,15,,,4675630.0,events,233522
pow_alt_2opt_inline,2,15,,,4750647.0,events,237480
pow_alt_2opt_inline,2,15,,,4829807.0,events,241438
pow_alt_2opt_inline,2,15,,,4913133.0,events,245396
pow_alt_2opt_inline,2,15,,,4988127.0,events,249354
pow_alt_2opt_inline,2,15,,,5067287.0,events,253312
pow_alt_2opt_inline,2,15,,,5150738.0,events,257270
pow_alt_2opt_inline,2,15,,,5225607.0,events,261228
pow_alt_2opt_inline,2,15,,,5304767.0,events,265186
pow_alt_2opt_inline,2,15,,,5383927.0,events,269144
pow_alt_2opt_inline,2,15,,,5467231.0,events,273102
pow_alt_2opt_inline,2,15,,,5542247.0,events,277060
pow_alt_2opt_inline,2,15,,,5621407.0,events,281018
pow_alt_2opt_inline,2,15,,,5704710.0,events,284976
pow_alt_2opt_inline,2,15,,,5779727.0,events,288934
