group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_2opt_inline,4,6,,,219221.0,events,9917
pow_alt_2opt_inline,4,6,,,437395.0,events,19834
pow_alt_2opt_inline,4,6,,,655569.0,events,29751
pow_alt_2opt_inline,4,6,,,873743.0,events,39668
pow_alt_2opt_inline,4,6,,,1091917.0,events,49585
pow_alt_2opt_inline,4,6,,,1310091.0,events,59502
pow_alt_2opt_inline,4,6,,,1528265.0,events,69419
pow_alt_2opt_inline,4,6,,,1750748.0,events,79336
pow_alt_2opt_inline,4,6,,,1964613.0,events,89253
pow_alt_2opt_inline,4,6,,,2182787.0,events,99170
pow_alt_2opt_inline,4,6,,,2400961.0,events,109087
pow_alt_2opt_inline,4,6,,,2619135.0,events,119004
pow_alt_2opt_inline,4,6,,,2837309.0,events,128921
pow_alt_2opt_inline,4,6,,,3055483.0,events,138838
pow_alt_2opt_inline,4,6,,,3273657.0,events,148755
pow_alt_2opt_inline,4,6,,,3491831.0,events,158672
pow_alt_2opt_inline,4,6,,,3710005.0,events,168589
pow_alt_2opt_inline,4,6,,,3928179.0,events,178506
pow_alt_2opt_inline,4,6,,,4146353.0,events,188423
pow_alt_2opt_inline,4,6,,,4364527.0,events,198340
pow_alt_2opt_inline,4,6,,,4582701.0,events,208257
pow_alt_2opt_inline,4,6,,,4805036.0,events,218174
pow_alt_2opt_inline,4,6,,,5019049.0,events,228091
pow_alt_2opt_inline,4,6,,,5237223.0,events,238008
pow_alt_2opt_inline,4,6,,,5455397.0,events,247925
pow_alt_2opt_inline,4,6,,,5673571.0,events,257842
pow_alt_2opt_inline,4,6,,,5891745.0,events,267759
pow_alt_2opt_inline,4,6,,,6109919.0,events,277676
pow_alt_2opt_inline,4,6,,,6328093.0,events,287593
pow_alt_2opt_inline,4,6,,,6550438.0,events,297510
pow_alt_2opt_inline,4,6,,,6764441.0,events,307427
pow_alt_2opt_inline,4,6,,,6982615.0,events,317344
pow_alt_2opt_inline,4,6,,,7200789.0,events,327261
pow_alt_2opt_inline,4,6,,,7418963.0,events,337178
pow_alt_2opt_inline,4,6,,,7637137.0,events,347095
pow_alt_2opt_inline,4,6,,,7855311.0,events,357012
pow_alt_2opt_inline,4,6,,,8077808.0,events,366929
pow_alt_2opt_inline,4,6,,,8291659.0,events,376846
pow_alt_2opt_inline,4,6,,,8509833.0,events,386763
pow_alt_2opt_inline,4,6,,,8728007.0,events,396680
pow_alt_2opt_inline,4,6,,,8946181.0,events,406597
pow_alt_2opt_inline,4,6,,,9168516.0,events,416514
pow_alt_2opt_inline,4,6,,,9382529.0,events,426431
pow_alt_2opt_inline,4,6,,,9600703.0,events,436348
pow_alt_2opt_inline,4,6,,,9818877.0,events,446265
pow_alt_2opt_inline,4,6,,,10037051.0,events,456182
pow_alt_2opt_inline,4,6,,,10259386.0,events,466099
pow_alt_2opt_inline,4,6,,,10473399.0,events,476016
pow_alt_2opt_inline,4,6,,,10691573.0,events,485933
pow_alt_2opt_inline,4,6,,,10909747.0,events,495850
pow_alt_2opt_inline,4,6,,,11127921.0,events,505767
pow_alt_2opt_inline,4,6,,,11350414.0,events,515684
pow_alt_2opt_inline,4,6,,,11564269.0,events,525601
pow_alt_2opt_inline,4,6,,,11782443.0,events,535518
pow_alt_2opt_inline,4,6,,,12000617.0,events,545435
pow_alt_2opt_inline,4,6,,,12222985.0,events,555352
pow_alt_2opt_inline,4,6,,,12436965.0,events,565269
pow_alt_2opt_inline,4,6,,,12655139.0,events,575186
pow_alt_2opt_inline,4,6,,,12877474.0,events,585103
pow_alt_2opt_inline,4,6,,,13091487.0,events,595020
pow_alt_2opt_inline,4,6,,,13309661.0,events,604937
pow_alt_2opt_inline,4,6,,,13527835.0,events,614854
pow_alt_2opt_inline,4,6,,,13750328.0,events,624771
pow_alt_2opt_inline,4,6,,,13964183.0,events,634688
pow_alt_2opt_inline,4,6,,,14182357.0,events,644605
pow_alt_2opt_inline,4,6,,,14404703.0,events,654522
pow_alt_2opt_inline,4,6,,,14618705.0,events,664439
pow_alt_2opt_inline,4,6,,,14836879.0,events,674356
pow_alt_2opt_inline,4,6,,,15055053.0,events,684273
pow_alt_2opt_inline,4,6,,,15277325.0,events,694190
pow_alt_2opt_inline,4,6,,,15491401.0,events,704107
pow_alt_2opt_inline,4,6,,,15709575.0,events,714024
pow_alt_2opt_inline,4,6,,,15932058.0,events,723941
pow_alt_2opt_inline,4,6,,,16145923.0,events,733858
pow_alt_2opt_inline,4,6,,,16364097.0,events,743775
pow_alt_2opt_inline,4,6,,,16586442.0,events,753692
pow_alt_2opt_inline,4,6,,,16800445.0,events,763609
pow_alt_2opt_inline,4,6,,,17022791.0,events,773526
pow_alt_2opt_inline,4,6,,,17236793.0,events,783443
pow_alt_2opt_inline,4,6,,,17454967.0,events,793360
pow_alt_2opt_inline,4,6,,,17680842.0,events,803277
pow_alt_2opt_inline,4,6,,,17891315.0,events,813194
pow_alt_2opt_inline,4,6,,,18109489.0,events,823111
pow_alt_2opt_inline,4,6,,,18331966.0,events,833028
pow_alt_2opt_inline,4,6,,,18545837.0,events,842945
pow_alt_2opt_inline,4,6,,,18768182.0,events,852862
pow_alt_2opt_inline,4,6,,,18982185.0,events,862779
pow_alt_2opt_inline,4,6,,,19200359.0,events,872696
pow_alt_2opt_inline,4,6,,,19422853.0,events,882613
pow_alt_2opt_inline,4,6,,,19636707.0,events,892530
pow_alt_2opt_inline,4,6,,,19859042.0,events,902447
pow_alt_2opt_inline,4,6,,,20073055.0,events,912364
pow_alt_2opt_inline,4,6,,,20291229.0,events,922281
pow_alt_2opt_inline,4,6,,,20513564.0,events,932198
pow_alt_2opt_inline,4,6,,,20727577.0,events,942115
pow_alt_2opt_inline,4,6,,,20950070.0,events,952032
pow_alt_2opt_inline,4,6,,,21163925.0,events,961949
pow_alt_2opt_inline,4,6,,,21386271.0,events,971866
pow_alt_2opt_inline,4,6,,,21600273.0,events,981783
pow_alt_2opt_inline,4,6,,,21822630.0,events,991700
