group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_std,1,26,,,242499.0,events,4163
pow_std,1,26,,,483953.0,events,8326
pow_std,1,26,,,725407.0,events,12489
pow_std,1,26,,,966861.0,events,16652
pow_std,1,26,,,1208315.0,events,20815
pow_std,1,26,,,1449769.0,events,24978
pow_std,1,26,,,1691223.0,events,29141
pow_std,1,26,,,1932677.0,events,33304
pow_std,1,26,,,2174131.0,events,37467
pow_std,1,26,,,2415585.0,events,41630
pow_std,1,26,,,2657039.0,events,45793
pow_std,1,26,,,2898493.0,events,49956
pow_std,1,26,,,3139947.0,events,54119
pow_std,1,26,,,3381401.0,events,58282
pow_std,1,26,,,3622855.0,events,62445
pow_std,1,26,,,3864309.0,events,66608
pow_std,1,26,,,4105763.0,events,70771
pow_std,1,26,,,4351393.0,events,74934
pow_std,1,26,,,4588671.0,events,79097
pow_std,1,26,,,4830125.0,events,83260
pow_std,1,26,,,5071579.0,events,87423
pow_std,1,26,,,5313033.0,events,91586
pow_std,1,26,,,5554487.0,events,95749
pow_std,1,26,,,5795941.0,events,99912
pow_std,1,26,,,6037395.0,events,104075
pow_std,1,26,,,6278849.0,events,108238
pow_std,1,26,,,6524480.0,events,112401
pow_std,1,26,,,6761757.0,events,116564
pow_std,1,26,,,7003211.0,events,120727
pow_std,1,26,,,7244665.0,events,124890
pow_std,1,26,,,7486119.0,events,129053
pow_std,1,26,,,7727573.0,events,133216
pow_std,1,26,,,7969027.0,events,137379
pow_std,1,26,,,8214795.0,events,141542
pow_std,1,26,,,8451935.0,events,145705
pow_std,1,26,,,8693389.0,events,149868
pow_std,1,26,,,8934843.0,events,154031
pow_std,1,26,,,9176297.0,events,158194
pow_std,1,26,,,9421949.0,events,162357
pow_std,1,26,,,9659205.0,events,166520
pow_std,1,26,,,9900659.0,events,170683
pow_std,1,26,,,10142113.0,events,174846
pow_std,1,26,,,10383567.0,events,179009
pow_std,1,26,,,10629198.0,events,183172
pow_std,1,26,,,10866475.0,events,187335
pow_std,1,26,,,11107929.0,events,191498
pow_std,1,26,,,11349383.0,events,195661
pow_std,1,26,,,11590837.0,events,199824
pow_std,1,26,,,11836605.0,events,203987
pow_std,1,26,,,12073745.0,events,208150
pow_std,1,26,,,12315199.0,events,212313
pow_std,1,26,,,12556653.0,events,216476
pow_std,1,26,,,12802283.0,events,220639
pow_std,1,26,,,13039561.0,events,224802
pow_std,1,26,,,13281015.0,events,228965
pow_std,1,26,,,13522469.0,events,233128
pow_std,1,26,,,13768100.0,events,237291
pow_std,1,26,,,14005377.0,events,241454
pow_std,1,26,,,14246831.0,events,245617
pow_std,1,26,,,14492602.0,events,249780
pow_std,1,26,,,14729739.0,events,253943
pow_std,1,26,,,14971193.0,events,258106
pow_std,1,26,,,15216823.0,events,262269
pow_std,1,26,,,15454101.0,events,266432
pow_std,1,26,,,15695555.0,events,270595
pow_std,1,26,,,15937009.0,events,274758
pow_std,1,26,,,16182640.0,events,278921
pow_std,1,26,,,16419917.0,events,283084
pow_std,1,26,,,16661371.0,events,287247
pow_std,1,26,,,16907171.0,events,291410
pow_std,1,26,,,17144279.0,events,295573
pow_std,1,26,,,17385733.0,events,299736
pow_std,1,26,,,17631522.0,events,303899
pow_std,1,26,,,17868641.0,events,308062
pow_std,1,26,,,18114261.0,events,312225
pow_std,1,26,,,18351549.0,events,316388
pow_std,1,26,,,18593003.0,events,320551
pow_std,1,26,,,18838781.0,events,324714
pow_std,1,26,,,19075911.0,events,328877
pow_std,1,26,,,19317365.0,events,333040
pow_std,1,26,,,19562996.0,events,337203
pow_std,1,26,,,19800273.0,events,341366
pow_std,1,26,,,20045893.0,events,345529
pow_std,1,26,,,20283181.0,events,349692
pow_std,1,26,,,20524635.0,events,353855
pow_std,1,26,,,20770413.0,events,358018
pow_std,1,26,,,21007543.0,events,362181
pow_std,1,26,,,21253174.0,events,366344
pow_std,1,26,,,21490451.0,events,370507
pow_std,1,26,,,21736093.0,events,374670
pow_std,1,26,,,21973359.0,events,378833
pow_std,1,26,,,22214813.0,events,382996
pow_std,1,26,,,22460591.0,events,387159
pow_std,1,26,,,22697721.0,events,391322
pow_std,1,26,,,22943510.0,events,395485
pow_std,1,26,,,23180629.0,events,399648
pow_std,1,26,,,23426249.0,events,403811
pow_std,1,26,,,23663537.0,events,407974
pow_std,1,26,,,23911509.0,events,412137
pow_std,1,26,,,24146445.0,events,416300
