group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_std_2opt,0,55,,,215625.0,events,10729
pow_std_2opt,0,55,,,430205.0,events,21458
pow_std_2opt,0,55,,,644785.0,events,32187
pow_std_2opt,0,55,,,859365.0,events,42916
pow_std_2opt,0,55,,,1073945.0,events,53645
pow_std_2opt,0,55,,,1288525.0,events,64374
pow_std_2opt,0,55,,,1503105.0,events,75103
pow_std_2opt,0,55,,,1717685.0,events,85832
pow_std_2opt,0,55,,,1932265.0,events,96561
pow_std_2opt,0,55,,,2146845.0,events,107290
pow_std_2opt,0,55,,,2361425.0,events,118019
pow_std_2opt,0,55,,,2576005.0,events,128748
pow_std_2opt,0,55,,,2790585.0,events,139477
pow_std_2opt,0,55,,,3005165.0,events,150206
pow_std_2opt,0,55,,,3219745.0,events,160935
pow_std_2opt,0,55,,,3434325.0,events,171664
pow_std_2opt,0,55,,,3648905.0,events,182393
pow_std_2opt,0,55,,,3863485.0,events,193122
pow_std_2opt,0,55,,,4078065.0,events,203851
pow_std_2opt,0,55,,,4296979.0,events,214580
pow_std_2opt,0,55,,,4507225.0,events,225309
pow_std_2opt,0,55,,,4721805.0,events,236038
pow_std_2opt,0,55,,,4936385.0,events,246767
pow_std_2opt,0,55,,,5150965.0,events,257496
pow_std_2opt,0,55,,,5365545.0,events,268225
pow_std_2opt,0,55,,,5580125.0,events,278954
pow_std_2opt,0,55,,,5794705.0,events,289683
pow_std_2opt,0,55,,,6013469.0,events,300412
pow_std_2opt,0,55,,,6223865.0,events,311141
pow_std_2opt,0,55,,,6438445.0,events,321870
pow_std_2opt,0,55,,,6653025.0,events,332599
pow_std_2opt,0,55,,,6867605.0,events,343328
pow_std_2opt,0,55,,,7082185.0,events,354057
pow_std_2opt,0,55,,,7296765.0,events,364786
pow_std_2opt,0,55,,,7515528.0,events,375515
pow_std_2opt,0,55,,,7725925.0,events,386244
pow_std_2opt,0,55,,,7940505.0,events,396973
pow_std_2opt,0,55,,,8155085.0,events,407702
pow_std_2opt,0,55,,,8369665.0,events,418431
pow_std_2opt,0,55,,,8584245.0,events,429160
pow_std_2opt,0,55,,,8803315.0,events,439889
pow_std_2opt,0,55,,,9013405.0,events,450618
pow_std_2opt,0,55,,,9227985.0,events,461347
pow_std_2opt,0,55,,,9442565.0,events,472076
pow_std_2opt,0,55,,,9657145.0,events,482805
pow_std_2opt,0,55,,,9875911.0,events,493534
pow_std_2opt,0,55,,,10086305.0,events,504263
pow_std_2opt,0,55,,,10300885.0,events,514992
pow_std_2opt,0,55,,,10515465.0,events,525721
pow_std_2opt,0,55,,,10734251.0,events,536450
pow_std_2opt,0,55,,,10944625.0,events,547179
pow_std_2opt,0,55,,,11159205.0,events,557908
pow_std_2opt,0,55,,,11373785.0,events,568637
pow_std_2opt,0,55,,,11592696.0,events,579366
pow_std_2opt,0,55,,,11802945.0,events,590095
pow_std_2opt,0,55,,,12017525.0,events,600824
pow_std_2opt,0,55,,,12232105.0,events,611553
pow_std_2opt,0,55,,,12450869.0,events,622282
pow_std_2opt,0,55,,,12661265.0,events,633011
pow_std_2opt,0,55,,,12875845.0,events,643740
pow_std_2opt,0,55,,,13090425.0,events,654469
pow_std_2opt,0,55,,,13309188.0,events,665198
pow_std_2opt,0,55,,,13519585.0,events,675927
pow_std_2opt,0,55,,,13734165.0,events,686656
pow_std_2opt,0,55,,,13953080.0,events,697385
pow_std_2opt,0,55,,,14163325.0,events,708114
pow_std_2opt,0,55,,,14377905.0,events,718843
pow_std_2opt,0,55,,,14596668.0,events,729572
pow_std_2opt,0,55,,,14807065.0,events,740301
pow_std_2opt,0,55,,,15021645.0,events,751030
pow_std_2opt,0,55,,,15240409.0,events,761759
pow_std_2opt,0,55,,,15450805.0,events,772488
pow_std_2opt,0,55,,,15665385.0,events,783217
pow_std_2opt,0,55,,,15884454.0,events,793946
pow_std_2opt,0,55,,,16094545.0,events,804675
pow_std_2opt,0,55,,,16309125.0,events,815404
pow_std_2opt,0,55,,,16527911.0,events,826133
pow_std_2opt,0,55,,,16738285.0,events,836862
pow_std_2opt,0,55,,,16952865.0,events,847591
pow_std_2opt,0,55,,,17171628.0,events,858320
pow_std_2opt,0,55,,,17382025.0,events,869049
pow_std_2opt,0,55,,,17600937.0,events,879778
pow_std_2opt,0,55,,,17811185.0,events,890507
pow_std_2opt,0,55,,,18025765.0,events,901236
pow_std_2opt,0,55,,,18244528.0,events,911965
pow_std_2opt,0,55,,,18454925.0,events,922694
pow_std_2opt,0,55,,,18673689.0,events,933423
pow_std_2opt,0,55,,,18884085.0,events,944152
pow_std_2opt,0,55,,,19098665.0,events,954881
pow_std_2opt,0,55,,,19317579.0,events,965610
pow_std_2opt,0,55,,,19527825.0,events,976339
pow_std_2opt,0,55,,,19746589.0,events,987068
pow_std_2opt,0,55,,,19956985.0,events,997797
pow_std_2opt,0,55,,,20175748.0,events,1008526
pow_std_2opt,0,55,,,20386145.0,events,1019255
pow_std_2opt,0,55,,,20600725.0,events,1029984
pow_std_2opt,0,55,,,20819817.0,events,1040713
pow_std_2opt,0,55,,,21029885.0,events,1051442
pow_std_2opt,0,55,,,21248648.0,events,1062171
pow_std_2opt,0,55,,,21459045.0,events,1072900
