group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_std_2opt,6,20,,,234919.0,events,3834
pow_std_2opt,6,20,,,468793.0,events,7668
pow_std_2opt,6,20,,,702667.0,events,11502
pow_std_2opt,6,20,,,936541.0,events,15336
pow_std_2opt,6,20,,,1170415.0,events,19170
pow_std_2opt,6,20,,,1404289.0,events,23004
pow_std_2opt,6,20,,,1638163.0,events,26838
pow_std_2opt,6,20,,,1872037.0,events,30672
pow_std_2opt,6,20,,,2110102.0,events,34506
pow_std_2opt,6,20,,,2339785.0,events,38340
pow_std_2opt,6,20,,,2573659.0,events,42174
pow_std_2opt,6,20,,,2807533.0,events,46008
pow_std_2opt,6,20,,,3041407.0,events,49842
pow_std_2opt,6,20,,,3275281.0,events,53676
pow_std_2opt,6,20,,,3509155.0,events,57510
pow_std_2opt,6,20,,,3743029.0,events,61344
pow_std_2opt,6,20,,,3976903.0,events,65178
pow_std_2opt,6,20,,,4210777.0,events,69012
pow_std_2opt,6,20,,,4444651.0,events,72846
pow_std_2opt,6,20,,,4678525.0,events,76680
pow_std_2opt,6,20,,,4912399.0,events,80514
pow_std_2opt,6,20,,,5150453.0,events,84348
pow_std_2opt,6,20,,,5380147.0,events,88182
pow_std_2opt,6,20,,,5614021.0,events,92016
pow_std_2opt,6,20,,,5847895.0,events,95850
pow_std_2opt,6,20,,,6081769.0,events,99684
pow_std_2opt,6,20,,,6315643.0,events,103518
pow_std_2opt,6,20,,,6549517.0,events,107352
pow_std_2opt,6,20,,,6783391.0,events,111186
pow_std_2opt,6,20,,,7021603.0,events,115020
pow_std_2opt,6,20,,,7251139.0,events,118854
pow_std_2opt,6,20,,,7485013.0,events,122688
pow_std_2opt,6,20,,,7718887.0,events,126522
pow_std_2opt,6,20,,,7952761.0,events,130356
pow_std_2opt,6,20,,,8186635.0,events,134190
pow_std_2opt,6,20,,,8420509.0,events,138024
pow_std_2opt,6,20,,,8658574.0,events,141858
pow_std_2opt,6,20,,,8888257.0,events,145692
pow_std_2opt,6,20,,,9134999.0,events,149526
pow_std_2opt,6,20,,,9356005.0,events,153360
pow_std_2opt,6,20,,,9589879.0,events,157194
pow_std_2opt,6,20,,,9827927.0,events,161028
pow_std_2opt,6,20,,,10057627.0,events,164862
pow_std_2opt,6,20,,,10291501.0,events,168696
pow_std_2opt,6,20,,,10525375.0,events,172530
pow_std_2opt,6,20,,,10759249.0,events,176364
pow_std_2opt,6,20,,,10997462.0,events,180198
pow_std_2opt,6,20,,,11226997.0,events,184032
pow_std_2opt,6,20,,,11460871.0,events,187866
pow_std_2opt,6,20,,,11694745.0,events,191700
pow_std_2opt,6,20,,,11932889.0,events,195534
pow_std_2opt,6,20,,,12162493.0,events,199368
pow_std_2opt,6,20,,,12396367.0,events,203202
pow_std_2opt,6,20,,,12630241.0,events,207036
pow_std_2opt,6,20,,,12881143.0,events,210870
pow_std_2opt,6,20,,,13097989.0,events,214704
pow_std_2opt,6,20,,,13331863.0,events,218538
pow_std_2opt,6,20,,,13565737.0,events,222372
pow_std_2opt,6,20,,,13803950.0,events,226206
pow_std_2opt,6,20,,,14033485.0,events,230040
pow_std_2opt,6,20,,,14267359.0,events,233874
pow_std_2opt,6,20,,,14505423.0,events,237708
pow_std_2opt,6,20,,,14735107.0,events,241542
pow_std_2opt,6,20,,,14968981.0,events,245376
pow_std_2opt,6,20,,,15202855.0,events,249210
pow_std_2opt,6,20,,,15440920.0,events,253044
pow_std_2opt,6,20,,,15670603.0,events,256878
pow_std_2opt,6,20,,,15904477.0,events,260712
pow_std_2opt,6,20,,,16142689.0,events,264546
pow_std_2opt,6,20,,,16372225.0,events,268380
pow_std_2opt,6,20,,,16606099.0,events,272214
pow_std_2opt,6,20,,,16844164.0,events,276048
pow_std_2opt,6,20,,,17073847.0,events,279882
pow_std_2opt,6,20,,,17307721.0,events,283716
pow_std_2opt,6,20,,,17545775.0,events,287550
pow_std_2opt,6,20,,,17775469.0,events,291384
pow_std_2opt,6,20,,,18009343.0,events,295218
pow_std_2opt,6,20,,,18247577.0,events,299052
pow_std_2opt,6,20,,,18477091.0,events,302886
pow_std_2opt,6,20,,,18715314.0,events,306720
pow_std_2opt,6,20,,,18944839.0,events,310554
pow_std_2opt,6,20,,,19178713.0,events,314388
pow_std_2opt,6,20,,,19416777.0,events,318222
pow_std_2opt,6,20,,,19646461.0,events,322056
pow_std_2opt,6,20,,,19880335.0,events,325890
pow_std_2opt,6,20,,,20118548.0,events,329724
pow_std_2opt,6,20,,,20348083.0,events,333558
pow_std_2opt,6,20,,,20586137.0,events,337392
pow_std_2opt,6,20,,,20815831.0,events,341226
pow_std_2opt,6,20,,,21053895.0,events,345060
pow_std_2opt,6,20,,,21283579.0,events,348894
pow_std_2opt,6,20,,,21517453.0,events,352728
pow_std_2opt,6,20,,,21757711.0,events,356562
pow_std_2opt,6,20,,,21985201.0,events,360396
pow_std_2opt,6,20,,,22223265.0,events,364230
pow_std_2opt,6,20,,,22452949.0,events,368064
pow_std_2opt,6,20,,,22691036.0,events,371898
pow_std_2opt,6,20,,,22920697.0,events,375732
pow_std_2opt,6,20,,,23158899.0,events,379566
pow_std_2opt,6,20,,,23388445.0,events,383400
