group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u32::pow,4,7,,,288984.0,events,7383
u32::pow,4,7,,,576921.0,events,14766
u32::pow,4,7,,,864858.0,events,22149
u32::pow,4,7,,,1152795.0,events,29532
u32::pow,4,7,,,1440732.0,events,36915
u32::pow,4,7,,,1728669.0,events,44298
u32::pow,4,7,,,2016606.0,events,51681
u32::pow,4,7,,,2304543.0,events,59064
u32::pow,4,7,,,2592480.0,events,66447
u32::pow,4,7,,,2880417.0,events,73830
u32::pow,4,7,,,3168354.0,events,81213
u32::pow,4,7,,,3456291.0,events,88596
u32::pow,4,7,,,3744228.0,events,95979
u32::pow,4,7,,,4032165.0,events,103362
u32::pow,4,7,,,4320102.0,events,110745
u32::pow,4,7,,,4608039.0,events,118128
u32::pow,4,7,,,4895976.0,events,125511
u32::pow,4,7,,,5188101.0,events,132894
u32::pow,4,7,,,5471850.0,events,140277
u32::pow,4,7,,,5759787.0,events,147660
u32::pow,4,7,,,6047724.0,events,155043
u32::pow,4,7,,,6335661.0,events,162426
u32::pow,4,7,,,6623598.0,events,169809
u32::pow,4,7,,,6911535.0,events,177192
u32::pow,4,7,,,7199472.0,events,184575
u32::pow,4,7,,,7487409.0,events,191958
u32::pow,4,7,,,7779660.0,events,199341
u32::pow,4,7,,,8063283.0,events,206724
u32::pow,4,7,,,8351220.0,events,214107
u32::pow,4,7,,,8639157.0,events,221490
u32::pow,4,7,,,8927094.0,events,228873
u32::pow,4,7,,,9215031.0,events,236256
u32::pow,4,7,,,9502968.0,events,243639
u32::pow,4,7,,,9795071.0,events,251022
u32::pow,4,7,,,10078842.0,events,258405
u32::pow,4,7,,,10366779.0,events,265788
u32::pow,4,7,,,10654716.0,events,273171
u32::pow,4,7,,,10942653.0,events,280554
u32::pow,4,7,,,11230590.0,events,287937
u32::pow,4,7,,,11522693.0,events,295320
u32::pow,4,7,,,11806464.0,events,302703
u32::pow,4,7,,,12094401.0,events,310086
u32::pow,4,7,,,12382338.0,events,317469
u32::pow,4,7,,,12670275.0,events,324852
u32::pow,4,7,,,12962536.0,events,332235
u32::pow,4,7,,,13246149.0,events,339618
u32::pow,4,7,,,13534086.0,events,347001
u32::pow,4,7,,,13822023.0,events,354384
u32::pow,4,7,,,14114137.0,events,361767
u32::pow,4,7,,,14397897.0,events,369150
u32::pow,4,7,,,14685834.0,events,376533
u32::pow,4,7,,,14973771.0,events,383916
u32::pow,4,7,,,15265874.0,events,391299
u32::pow,4,7,,,15549645.0,events,398682
u32::pow,4,7,,,15837582.0,events,406065
u32::pow,4,7,,,16125519.0,events,413448
u32::pow,4,7,,,16417770.0,events,420831
u32::pow,4,7,,,16701393.0,events,428214
u32::pow,4,7,,,16989330.0,events,435597
u32::pow,4,7,,,17277267.0,events,442980
u32::pow,4,7,,,17569392.0,events,450363
u32::pow,4,7,,,17853141.0,events,457746
u32::pow,4,7,,,18141078.0,events,465129
u32::pow,4,7,,,18433181.0,events,472512
u32::pow,4,7,,,18716952.0,events,479895
u32::pow,4,7,,,19004889.0,events,487278
u32::pow,4,7,,,19297150.0,events,494661
u32::pow,4,7,,,19580763.0,events,502044
u32::pow,4,7,,,19868700.0,events,509427
u32::pow,4,7,,,20160814.0,events,516810
u32::pow,4,7,,,20444574.0,events,524193
u32::pow,4,7,,,20732511.0,events,531576
u32::pow,4,7,,,21024772.0,events,538959
u32::pow,4,7,,,21308385.0,events,546342
u32::pow,4,7,,,21596322.0,events,553725
u32::pow,4,7,,,21888573.0,events,561108
u32::pow,4,7,,,22172196.0,events,568491
u32::pow,4,7,,,22460133.0,events,575874
u32::pow,4,7,,,22752236.0,events,583257
u32::pow,4,7,,,23036007.0,events,590640
u32::pow,4,7,,,23328110.0,events,598023
u32::pow,4,7,,,23611881.0,events,605406
u32::pow,4,7,,,23899818.0,events,612789
u32::pow,4,7,,,24195471.0,events,620172
u32::pow,4,7,,,24475692.0,events,627555
u32::pow,4,7,,,24767790.0,events,634938
u32::pow,4,7,,,25051566.0,events,642321
u32::pow,4,7,,,25339503.0,events,649704
u32::pow,4,7,,,25634066.0,events,657087
u32::pow,4,7,,,25915377.0,events,664470
u32::pow,4,7,,,26207628.0,events,671853
u32::pow,4,7,,,26491251.0,events,679236
u32::pow,4,7,,,26783354.0,events,686619
u32::pow,4,7,,,27067125.0,events,694002
u32::pow,4,7,,,27355062.0,events,701385
u32::pow,4,7,,,27647175.0,events,708768
u32::pow,4,7,,,27930936.0,events,716151
u32::pow,4,7,,,28223198.0,events,723534
u32::pow,4,7,,,28506810.0,events,730917
u32::pow,4,7,,,28798913.0,events,738300
