group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u32::pow,8,6,,,290271.0,events,7416
u32::pow,8,6,,,579495.0,events,14832
u32::pow,8,6,,,868719.0,events,22248
u32::pow,8,6,,,1157943.0,events,29664
u32::pow,8,6,,,1447167.0,events,37080
u32::pow,8,6,,,1736391.0,events,44496
u32::pow,8,6,,,2025615.0,events,51912
u32::pow,8,6,,,2314839.0,events,59328
u32::pow,8,6,,,2604063.0,events,66744
u32::pow,8,6,,,2893287.0,events,74160
u32::pow,8,6,,,3182511.0,events,81576
u32::pow,8,6,,,3475868.0,events,88992
u32::pow,8,6,,,3760959.0,events,96408
u32::pow,8,6,,,4050183.0,events,103824
u32::pow,8,6,,,4339407.0,events,111240
u32::pow,8,6,,,4628631.0,events,118656
u32::pow,8,6,,,4917855.0,events,126072
u32::pow,8,6,,,5207079.0,events,133488
u32::pow,8,6,,,5496303.0,events,140904
u32::pow,8,6,,,5785527.0,events,148320
u32::pow,8,6,,,6074751.0,events,155736
u32::pow,8,6,,,6363975.0,events,163152
u32::pow,8,6,,,6653199.0,events,170568
u32::pow,8,6,,,6946556.0,events,177984
u32::pow,8,6,,,7231647.0,events,185400
u32::pow,8,6,,,7520871.0,events,192816
u32::pow,8,6,,,7810095.0,events,200232
u32::pow,8,6,,,8099319.0,events,207648
u32::pow,8,6,,,8388543.0,events,215064
u32::pow,8,6,,,8677767.0,events,222480
u32::pow,8,6,,,8971275.0,events,229896
u32::pow,8,6,,,9256215.0,events,237312
u32::pow,8,6,,,9545439.0,events,244728
u32::pow,8,6,,,9834663.0,events,252144
u32::pow,8,6,,,10123887.0,events,259560
u32::pow,8,6,,,10413111.0,events,266976
u32::pow,8,6,,,10706636.0,events,274392
u32::pow,8,6,,,10991559.0,events,281808
u32::pow,8,6,,,11280783.0,events,289224
u32::pow,8,6,,,11570007.0,events,296640
u32::pow,8,6,,,11859231.0,events,304056
u32::pow,8,6,,,12152599.0,events,311472
u32::pow,8,6,,,12437679.0,events,318888
u32::pow,8,6,,,12726903.0,events,326304
u32::pow,8,6,,,13016127.0,events,333720
u32::pow,8,6,,,13305351.0,events,341136
u32::pow,8,6,,,13598856.0,events,348552
u32::pow,8,6,,,13883799.0,events,355968
u32::pow,8,6,,,14173023.0,events,363384
u32::pow,8,6,,,14462247.0,events,370800
u32::pow,8,6,,,14755604.0,events,378216
u32::pow,8,6,,,15040695.0,events,385632
u32::pow,8,6,,,15329919.0,events,393048
u32::pow,8,6,,,15619143.0,events,400464
u32::pow,8,6,,,15912522.0,events,407880
u32::pow,8,6,,,16197591.0,events,415296
u32::pow,8,6,,,16486815.0,events,422712
u32::pow,8,6,,,16776039.0,events,430128
u32::pow,8,6,,,17069554.0,events,437544
u32::pow,8,6,,,17354487.0,events,444960
u32::pow,8,6,,,17643711.0,events,452376
u32::pow,8,6,,,17937079.0,events,459792
u32::pow,8,6,,,18222159.0,events,467208
u32::pow,8,6,,,18511383.0,events,474624
u32::pow,8,6,,,18800607.0,events,482040
u32::pow,8,6,,,19093964.0,events,489456
u32::pow,8,6,,,19379055.0,events,496872
u32::pow,8,6,,,19668279.0,events,504288
u32::pow,8,6,,,19961784.0,events,511704
u32::pow,8,6,,,20246727.0,events,519120
u32::pow,8,6,,,20535951.0,events,526536
u32::pow,8,6,,,20829610.0,events,533952
u32::pow,8,6,,,21114399.0,events,541368
u32::pow,8,6,,,21403623.0,events,548784
u32::pow,8,6,,,21697268.0,events,556200
u32::pow,8,6,,,21982071.0,events,563616
u32::pow,8,6,,,22275878.0,events,571032
u32::pow,8,6,,,22560519.0,events,578448
u32::pow,8,6,,,22849743.0,events,585864
u32::pow,8,6,,,23143421.0,events,593280
u32::pow,8,6,,,23428191.0,events,600696
u32::pow,8,6,,,23717415.0,events,608112
u32::pow,8,6,,,24011062.0,events,615528
u32::pow,8,6,,,24295863.0,events,622944
u32::pow,8,6,,,24589368.0,events,630360
u32::pow,8,6,,,24874311.0,events,637776
u32::pow,8,6,,,25169962.0,events,645192
u32::pow,8,6,,,25452759.0,events,652608
u32::pow,8,6,,,25741983.0,events,660024
u32::pow,8,6,,,26035350.0,events,667440
u32::pow,8,6,,,26320431.0,events,674856
u32::pow,8,6,,,26614105.0,events,682272
u32::pow,8,6,,,26898879.0,events,689688
u32::pow,8,6,,,27192236.0,events,697104
u32::pow,8,6,,,27477327.0,events,704520
u32::pow,8,6,,,27766551.0,events,711936
u32::pow,8,6,,,28059851.0,events,719352
u32::pow,8,6,,,28344999.0,events,726768
u32::pow,8,6,,,28639187.0,events,734184
u32::pow,8,6,,,28923447.0,events,741600
