group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt,2,4,,,246070.0,events,5445
pow_alt,2,4,,,491095.0,events,10890
pow_alt,2,4,,,736120.0,events,16335
pow_alt,2,4,,,981145.0,events,21780
pow_alt,2,4,,,1226170.0,events,27225
pow_alt,2,4,,,1471195.0,events,32670
pow_alt,2,4,,,1716220.0,events,38115
pow_alt,2,4,,,1961245.0,events,43560
pow_alt,2,4,,,2206270.0,events,49005
pow_alt,2,4,,,2451295.0,events,54450
pow_alt,2,4,,,2696320.0,events,59895
pow_alt,2,4,,,2941345.0,events,65340
pow_alt,2,4,,,3186370.0,events,70785
pow_alt,2,4,,,3431395.0,events,76230
pow_alt,2,4,,,3676420.0,events,81675
pow_alt,2,4,,,3921445.0,events,87120
pow_alt,2,4,,,4166470.0,events,92565
pow_alt,2,4,,,4417864.0,events,98010
pow_alt,2,4,,,4656520.0,events,103455
pow_alt,2,4,,,4901545.0,events,108900
pow_alt,2,4,,,5146570.0,events,114345
pow_alt,2,4,,,5391595.0,events,119790
pow_alt,2,4,,,5636620.0,events,125235
pow_alt,2,4,,,5881645.0,events,130680
pow_alt,2,4,,,6126670.0,events,136125
pow_alt,2,4,,,6371695.0,events,141570
pow_alt,2,4,,,6620915.0,events,147015
pow_alt,2,4,,,6861745.0,events,152460
pow_alt,2,4,,,7106770.0,events,157905
pow_alt,2,4,,,7351795.0,events,163350
pow_alt,2,4,,,7596820.0,events,168795
pow_alt,2,4,,,7841845.0,events,174240
pow_alt,2,4,,,8086870.0,events,179685
pow_alt,2,4,,,8336068.0,events,185130
pow_alt,2,4,,,8576920.0,events,190575
pow_alt,2,4,,,8821945.0,events,196020
pow_alt,2,4,,,9066970.0,events,201465
pow_alt,2,4,,,9311995.0,events,206910
pow_alt,2,4,,,9557020.0,events,212355
pow_alt,2,4,,,9806366.0,events,217800
pow_alt,2,4,,,10047070.0,events,223245
pow_alt,2,4,,,10292095.0,events,228690
pow_alt,2,4,,,10549974.0,events,234135
pow_alt,2,4,,,10782145.0,events,239580
pow_alt,2,4,,,11031330.0,events,245025
pow_alt,2,4,,,11272195.0,events,250470
pow_alt,2,4,,,11517220.0,events,255915
pow_alt,2,4,,,11762245.0,events,261360
pow_alt,2,4,,,12007270.0,events,266805
pow_alt,2,4,,,12256468.0,events,272250
pow_alt,2,4,,,12497320.0,events,277695
pow_alt,2,4,,,12742345.0,events,283140
pow_alt,2,4,,,12987370.0,events,288585
pow_alt,2,4,,,13236716.0,events,294030
pow_alt,2,4,,,13477420.0,events,299475
pow_alt,2,4,,,13722445.0,events,304920
pow_alt,2,4,,,13967470.0,events,310365
pow_alt,2,4,,,14216678.0,events,315810
pow_alt,2,4,,,14457520.0,events,321255
pow_alt,2,4,,,14702545.0,events,326700
pow_alt,2,4,,,14951754.0,events,332145
pow_alt,2,4,,,15192595.0,events,337590
pow_alt,2,4,,,15437620.0,events,343035
pow_alt,2,4,,,15682645.0,events,348480
pow_alt,2,4,,,15932013.0,events,353925
pow_alt,2,4,,,16172695.0,events,359370
pow_alt,2,4,,,16417720.0,events,364815
pow_alt,2,4,,,16666921.0,events,370260
pow_alt,2,4,,,16907770.0,events,375705
pow_alt,2,4,,,17152795.0,events,381150
pow_alt,2,4,,,17401993.0,events,386595
pow_alt,2,4,,,17642845.0,events,392040
pow_alt,2,4,,,17887870.0,events,397485
pow_alt,2,4,,,18137374.0,events,402930
pow_alt,2,4,,,18377920.0,events,408375
pow_alt,2,4,,,18622945.0,events,413820
pow_alt,2,4,,,18872143.0,events,419265
pow_alt,2,4,,,19112995.0,events,424710
pow_alt,2,4,,,19358020.0,events,430155
pow_alt,2,4,,,19607218.0,events,435600
pow_alt,2,4,,,19848070.0,events,441045
pow_alt,2,4,,,20093095.0,events,446490
pow_alt,2,4,,,20342441.0,events,451935
pow_alt,2,4,,,20583145.0,events,457380
pow_alt,2,4,,,20832343.0,events,462825
pow_alt,2,4,,,21073195.0,events,468270
pow_alt,2,4,,,21318220.0,events,473715
pow_alt,2,4,,,21567450.0,events,479160
pow_alt,2,4,,,21808270.0,events,484605
pow_alt,2,4,,,22057627.0,events,490050
pow_alt,2,4,,,22298320.0,events,495495
pow_alt,2,4,,,22556213.0,events,500940
pow_alt,2,4,,,22792125.0,events,506385
pow_alt,2,4,,,23033395.0,events,511830
pow_alt,2,4,,,23282593.0,events,517275
pow_alt,2,4,,,23523445.0,events,522720
pow_alt,2,4,,,23772791.0,events,528165
pow_alt,2,4,,,24013495.0,events,533610
pow_alt,2,4,,,24262696.0,events,539055
pow_alt,2,4,,,24503545.0,events,544500
