group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_2opt,3,3,,,236917.0,events,6552
pow_alt_2opt,3,3,,,472789.0,events,13104
pow_alt_2opt,3,3,,,708661.0,events,19656
pow_alt_2opt,3,3,,,944533.0,events,26208
pow_alt_2opt,3,3,,,1180405.0,events,32760
pow_alt_2opt,3,3,,,1416277.0,events,39312
pow_alt_2opt,3,3,,,1652149.0,events,45864
pow_alt_2opt,3,3,,,1888021.0,events,52416
pow_alt_2opt,3,3,,,2123893.0,events,58968
pow_alt_2opt,3,3,,,2359765.0,events,65520
pow_alt_2opt,3,3,,,2595637.0,events,72072
pow_alt_2opt,3,3,,,2831509.0,events,78624
pow_alt_2opt,3,3,,,3067381.0,events,85176
pow_alt_2opt,3,3,,,3303253.0,events,91728
pow_alt_2opt,3,3,,,3539125.0,events,98280
pow_alt_2opt,3,3,,,3774997.0,events,104832
pow_alt_2opt,3,3,,,4010869.0,events,111384
pow_alt_2opt,3,3,,,4246741.0,events,117936
pow_alt_2opt,3,3,,,4482613.0,events,124488
pow_alt_2opt,3,3,,,4722651.0,events,131040
pow_alt_2opt,3,3,,,4954357.0,events,137592
pow_alt_2opt,3,3,,,5190229.0,events,144144
pow_alt_2opt,3,3,,,5426101.0,events,150696
pow_alt_2opt,3,3,,,5661973.0,events,157248
pow_alt_2opt,3,3,,,5897845.0,events,163800
pow_alt_2opt,3,3,,,6133717.0,events,170352
pow_alt_2opt,3,3,,,6369589.0,events,176904
pow_alt_2opt,3,3,,,6605461.0,events,183456
pow_alt_2opt,3,3,,,6845650.0,events,190008
pow_alt_2opt,3,3,,,7077205.0,events,196560
pow_alt_2opt,3,3,,,7313077.0,events,203112
pow_alt_2opt,3,3,,,7548949.0,events,209664
pow_alt_2opt,3,3,,,7784821.0,events,216216
pow_alt_2opt,3,3,,,8020693.0,events,222768
pow_alt_2opt,3,3,,,8256565.0,events,229320
pow_alt_2opt,3,3,,,8496603.0,events,235872
pow_alt_2opt,3,3,,,8728309.0,events,242424
pow_alt_2opt,3,3,,,8964181.0,events,248976
pow_alt_2opt,3,3,,,9200053.0,events,255528
pow_alt_2opt,3,3,,,9435925.0,events,262080
pow_alt_2opt,3,3,,,9675963.0,events,268632
pow_alt_2opt,3,3,,,9907669.0,events,275184
pow_alt_2opt,3,3,,,10143541.0,events,281736
pow_alt_2opt,3,3,,,10379413.0,events,288288
pow_alt_2opt,3,3,,,10615285.0,events,294840
pow_alt_2opt,3,3,,,10855474.0,events,301392
pow_alt_2opt,3,3,,,11087029.0,events,307944
pow_alt_2opt,3,3,,,11322901.0,events,314496
pow_alt_2opt,3,3,,,11558773.0,events,321048
pow_alt_2opt,3,3,,,11794645.0,events,327600
pow_alt_2opt,3,3,,,12036857.0,events,334152
pow_alt_2opt,3,3,,,12266389.0,events,340704
pow_alt_2opt,3,3,,,12502261.0,events,347256
pow_alt_2opt,3,3,,,12738133.0,events,353808
pow_alt_2opt,3,3,,,12978329.0,events,360360
pow_alt_2opt,3,3,,,13209877.0,events,366912
pow_alt_2opt,3,3,,,13445749.0,events,373464
pow_alt_2opt,3,3,,,13681621.0,events,380016
pow_alt_2opt,3,3,,,13921810.0,events,386568
pow_alt_2opt,3,3,,,14153365.0,events,393120
pow_alt_2opt,3,3,,,14389237.0,events,399672
pow_alt_2opt,3,3,,,14625109.0,events,406224
pow_alt_2opt,3,3,,,14865147.0,events,412776
pow_alt_2opt,3,3,,,15096853.0,events,419328
pow_alt_2opt,3,3,,,15332725.0,events,425880
pow_alt_2opt,3,3,,,15572763.0,events,432432
pow_alt_2opt,3,3,,,15804469.0,events,438984
pow_alt_2opt,3,3,,,16040341.0,events,445536
pow_alt_2opt,3,3,,,16276213.0,events,452088
pow_alt_2opt,3,3,,,16516399.0,events,458640
pow_alt_2opt,3,3,,,16747957.0,events,465192
pow_alt_2opt,3,3,,,16983829.0,events,471744
pow_alt_2opt,3,3,,,17223867.0,events,478296
pow_alt_2opt,3,3,,,17455573.0,events,484848
pow_alt_2opt,3,3,,,17691445.0,events,491400
pow_alt_2opt,3,3,,,17931497.0,events,497952
pow_alt_2opt,3,3,,,18163189.0,events,504504
pow_alt_2opt,3,3,,,18399061.0,events,511056
pow_alt_2opt,3,3,,,18639279.0,events,517608
pow_alt_2opt,3,3,,,18870805.0,events,524160
pow_alt_2opt,3,3,,,19123695.0,events,530712
pow_alt_2opt,3,3,,,19342549.0,events,537264
pow_alt_2opt,3,3,,,19578421.0,events,543816
pow_alt_2opt,3,3,,,19818459.0,events,550368
pow_alt_2opt,3,3,,,20050165.0,events,556920
pow_alt_2opt,3,3,,,20286037.0,events,563472
pow_alt_2opt,3,3,,,20526223.0,events,570024
pow_alt_2opt,3,3,,,20757781.0,events,576576
pow_alt_2opt,3,3,,,20997819.0,events,583128
pow_alt_2opt,3,3,,,21229525.0,events,589680
pow_alt_2opt,3,3,,,21465397.0,events,596232
pow_alt_2opt,3,3,,,21705435.0,events,602784
pow_alt_2opt,3,3,,,21937141.0,events,609336
pow_alt_2opt,3,3,,,22189799.0,events,615888
pow_alt_2opt,3,3,,,22408885.0,events,622440
pow_alt_2opt,3,3,,,22648910.0,events,628992
pow_alt_2opt,3,3,,,22880629.0,events,635544
pow_alt_2opt,3,3,,,23116501.0,events,642096
pow_alt_2opt,3,3,,,23356561.0,events,648648
pow_alt_2opt,3,3,,,23588245.0,events,655200
