group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_2opt_inline,7,1,,,224639.0,events,11768
pow_alt_2opt_inline,7,1,,,448231.0,events,23536
pow_alt_2opt_inline,7,1,,,671823.0,events,35304
pow_alt_2opt_inline,7,1,,,895415.0,events,47072
pow_alt_2opt_inline,7,1,,,1119007.0,events,58840
pow_alt_2opt_inline,7,1,,,1342599.0,events,70608
pow_alt_2opt_inline,7,1,,,1566191.0,events,82376
pow_alt_2opt_inline,7,1,,,1789783.0,events,94144
pow_alt_2opt_inline,7,1,,,2013375.0,events,105912
pow_alt_2opt_inline,7,1,,,2236967.0,events,117680
pow_alt_2opt_inline,7,1,,,2460559.0,events,129448
pow_alt_2opt_inline,7,1,,,2684151.0,events,141216
pow_alt_2opt_inline,7,1,,,2907743.0,events,152984
pow_alt_2opt_inline,7,1,,,3131335.0,events,164752
pow_alt_2opt_inline,7,1,,,3354927.0,events,176520
pow_alt_2opt_inline,7,1,,,3578519.0,events,188288
pow_alt_2opt_inline,7,1,,,3802111.0,events,200056
pow_alt_2opt_inline,7,1,,,4030210.0,events,211824
pow_alt_2opt_inline,7,1,,,4249295.0,events,223592
pow_alt_2opt_inline,7,1,,,4472887.0,events,235360
pow_alt_2opt_inline,7,1,,,4696479.0,events,247128
pow_alt_2opt_inline,7,1,,,4920071.0,events,258896
pow_alt_2opt_inline,7,1,,,5143663.0,events,270664
pow_alt_2opt_inline,7,1,,,5367255.0,events,282432
pow_alt_2opt_inline,7,1,,,5590847.0,events,294200
pow_alt_2opt_inline,7,1,,,5814439.0,events,305968
pow_alt_2opt_inline,7,1,,,6038031.0,events,317736
pow_alt_2opt_inline,7,1,,,6265912.0,events,329504
pow_alt_2opt_inline,7,1,,,6485215.0,events,341272
pow_alt_2opt_inline,7,1,,,6708807.0,events,353040
pow_alt_2opt_inline,7,1,,,6932399.0,events,364808
pow_alt_2opt_inline,7,1,,,7155991.0,events,376576
pow_alt_2opt_inline,7,1,,,7379583.0,events,388344
pow_alt_2opt_inline,7,1,,,7607461.0,events,400112
pow_alt_2opt_inline,7,1,,,7826767.0,events,411880
pow_alt_2opt_inline,7,1,,,8050359.0,events,423648
pow_alt_2opt_inline,7,1,,,8273951.0,events,435416
pow_alt_2opt_inline,7,1,,,8497543.0,events,447184
pow_alt_2opt_inline,7,1,,,8721135.0,events,458952
pow_alt_2opt_inline,7,1,,,8949161.0,events,470720
pow_alt_2opt_inline,7,1,,,9168319.0,events,482488
pow_alt_2opt_inline,7,1,,,9391911.0,events,494256
pow_alt_2opt_inline,7,1,,,9615503.0,events,506024
pow_alt_2opt_inline,7,1,,,9839095.0,events,517792
pow_alt_2opt_inline,7,1,,,10066983.0,events,529560
pow_alt_2opt_inline,7,1,,,10286279.0,events,541328
pow_alt_2opt_inline,7,1,,,10509871.0,events,553096
pow_alt_2opt_inline,7,1,,,10733463.0,events,564864
pow_alt_2opt_inline,7,1,,,10961355.0,events,576632
pow_alt_2opt_inline,7,1,,,11180647.0,events,588400
pow_alt_2opt_inline,7,1,,,11404239.0,events,600168
pow_alt_2opt_inline,7,1,,,11627831.0,events,611936
pow_alt_2opt_inline,7,1,,,11855857.0,events,623704
pow_alt_2opt_inline,7,1,,,12075015.0,events,635472
pow_alt_2opt_inline,7,1,,,12298607.0,events,647240
pow_alt_2opt_inline,7,1,,,12522199.0,events,659008
pow_alt_2opt_inline,7,1,,,12750121.0,events,670776
pow_alt_2opt_inline,7,1,,,12969383.0,events,682544
pow_alt_2opt_inline,7,1,,,13192975.0,events,694312
pow_alt_2opt_inline,7,1,,,13416567.0,events,706080
pow_alt_2opt_inline,7,1,,,13644285.0,events,717848
pow_alt_2opt_inline,7,1,,,13863751.0,events,729616
pow_alt_2opt_inline,7,1,,,14087343.0,events,741384
pow_alt_2opt_inline,7,1,,,14315209.0,events,753152
pow_alt_2opt_inline,7,1,,,14534527.0,events,764920
pow_alt_2opt_inline,7,1,,,14758119.0,events,776688
pow_alt_2opt_inline,7,1,,,14989300.0,events,788456
pow_alt_2opt_inline,7,1,,,15205303.0,events,800224
pow_alt_2opt_inline,7,1,,,15428895.0,events,811992
pow_alt_2opt_inline,7,1,,,15656624.0,events,823760
pow_alt_2opt_inline,7,1,,,15876079.0,events,835528
pow_alt_2opt_inline,7,1,,,16099671.0,events,847296
pow_alt_2opt_inline,7,1,,,16327530.0,events,859064
pow_alt_2opt_inline,7,1,,,16546855.0,events,870832
pow_alt_2opt_inline,7,1,,,16770447.0,events,882600
pow_alt_2opt_inline,7,1,,,16998158.0,events,894368
pow_alt_2opt_inline,7,1,,,17217631.0,events,906136
pow_alt_2opt_inline,7,1,,,17441223.0,events,917904
pow_alt_2opt_inline,7,1,,,17668934.0,events,929672
pow_alt_2opt_inline,7,1,,,17888407.0,events,941440
pow_alt_2opt_inline,7,1,,,18119661.0,events,953208
pow_alt_2opt_inline,7,1,,,18335591.0,events,964976
pow_alt_2opt_inline,7,1,,,18559183.0,events,976744
pow_alt_2opt_inline,7,1,,,18786878.0,events,988512
pow_alt_2opt_inline,7,1,,,19006367.0,events,1000280
pow_alt_2opt_inline,7,1,,,19234078.0,events,1012048
pow_alt_2opt_inline,7,1,,,19453551.0,events,1023816
pow_alt_2opt_inline,7,1,,,19677143.0,events,1035584
pow_alt_2opt_inline,7,1,,,19907855.0,events,1047352
pow_alt_2opt_inline,7,1,,,20124327.0,events,1059120
pow_alt_2opt_inline,7,1,,,20352052.0,events,1070888
pow_alt_2opt_inline,7,1,,,20571511.0,events,1082656
pow_alt_2opt_inline,7,1,,,20795103.0,events,1094424
pow_alt_2opt_inline,7,1,,,21022814.0,events,1106192
pow_alt_2opt_inline,7,1,,,21242287.0,events,1117960
pow_alt_2opt_inline,7,1,,,21470146.0,events,1129728
pow_alt_2opt_inline,7,1,,,21689471.0,events,1141496
pow_alt_2opt_inline,7,1,,,21917182.0,events,1153264
pow_alt_2opt_inline,7,1,,,22136655.0,events,1165032
pow_alt_2opt_inline,7,1,,,22364388.0,events,1176800
