group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_inline,4,2,,,269399.0,events,8386
pow_alt_inline,4,2,,,537751.0,events,16772
pow_alt_inline,4,2,,,806103.0,events,25158
pow_alt_inline,4,2,,,1074455.0,events,33544
pow_alt_inline,4,2,,,1342807.0,events,41930
pow_alt_inline,4,2,,,1611159.0,events,50316
pow_alt_inline,4,2,,,1879511.0,events,58702
pow_alt_inline,4,2,,,2147863.0,events,67088
pow_alt_inline,4,2,,,2416215.0,events,75474
pow_alt_inline,4,2,,,2684567.0,events,83860
pow_alt_inline,4,2,,,2952919.0,events,92246
pow_alt_inline,4,2,,,3221271.0,events,100632
pow_alt_inline,4,2,,,3489623.0,events,109018
pow_alt_inline,4,2,,,3757975.0,events,117404
pow_alt_inline,4,2,,,4026327.0,events,125790
pow_alt_inline,4,2,,,4294679.0,events,134176
pow_alt_inline,4,2,,,4563031.0,events,142562
pow_alt_inline,4,2,,,4831383.0,events,150948
pow_alt_inline,4,2,,,5099735.0,events,159334
pow_alt_inline,4,2,,,5372300.0,events,167720
pow_alt_inline,4,2,,,5636439.0,events,176106
pow_alt_inline,4,2,,,5904791.0,events,184492
pow_alt_inline,4,2,,,6173143.0,events,192878
pow_alt_inline,4,2,,,6441495.0,events,201264
pow_alt_inline,4,2,,,6709847.0,events,209650
pow_alt_inline,4,2,,,6978199.0,events,218036
pow_alt_inline,4,2,,,7246551.0,events,226422
pow_alt_inline,4,2,,,7514903.0,events,234808
pow_alt_inline,4,2,,,7787616.0,events,243194
pow_alt_inline,4,2,,,8051607.0,events,251580
pow_alt_inline,4,2,,,8319959.0,events,259966
pow_alt_inline,4,2,,,8588311.0,events,268352
pow_alt_inline,4,2,,,8856663.0,events,276738
pow_alt_inline,4,2,,,9125015.0,events,285124
pow_alt_inline,4,2,,,9397580.0,events,293510
pow_alt_inline,4,2,,,9661719.0,events,301896
pow_alt_inline,4,2,,,9930071.0,events,310282
pow_alt_inline,4,2,,,10198423.0,events,318668
pow_alt_inline,4,2,,,10466775.0,events,327054
pow_alt_inline,4,2,,,10735127.0,events,335440
pow_alt_inline,4,2,,,11007695.0,events,343826
pow_alt_inline,4,2,,,11271831.0,events,352212
pow_alt_inline,4,2,,,11540183.0,events,360598
pow_alt_inline,4,2,,,11808535.0,events,368984
pow_alt_inline,4,2,,,12076887.0,events,377370
pow_alt_inline,4,2,,,12352995.0,events,385756
pow_alt_inline,4,2,,,12613591.0,events,394142
pow_alt_inline,4,2,,,12881943.0,events,402528
pow_alt_inline,4,2,,,13150295.0,events,410914
pow_alt_inline,4,2,,,13422844.0,events,419300
pow_alt_inline,4,2,,,13686999.0,events,427686
pow_alt_inline,4,2,,,13955351.0,events,436072
pow_alt_inline,4,2,,,14223703.0,events,444458
pow_alt_inline,4,2,,,14496268.0,events,452844
pow_alt_inline,4,2,,,14760407.0,events,461230
pow_alt_inline,4,2,,,15028759.0,events,469616
pow_alt_inline,4,2,,,15297111.0,events,478002
pow_alt_inline,4,2,,,15569982.0,events,486388
pow_alt_inline,4,2,,,15833815.0,events,494774
pow_alt_inline,4,2,,,16102167.0,events,503160
pow_alt_inline,4,2,,,16370519.0,events,511546
pow_alt_inline,4,2,,,16643084.0,events,519932
pow_alt_inline,4,2,,,16907223.0,events,528318
pow_alt_inline,4,2,,,17175575.0,events,536704
pow_alt_inline,4,2,,,17448140.0,events,545090
pow_alt_inline,4,2,,,17712279.0,events,553476
pow_alt_inline,4,2,,,17980631.0,events,561862
pow_alt_inline,4,2,,,18253344.0,events,570248
pow_alt_inline,4,2,,,18517335.0,events,578634
pow_alt_inline,4,2,,,18785687.0,events,587020
pow_alt_inline,4,2,,,19058252.0,events,595406
pow_alt_inline,4,2,,,19322391.0,events,603792
pow_alt_inline,4,2,,,19590743.0,events,612178
pow_alt_inline,4,2,,,19863330.0,events,620564
pow_alt_inline,4,2,,,20127447.0,events,628950
pow_alt_inline,4,2,,,20395799.0,events,637336
pow_alt_inline,4,2,,,20668512.0,events,645722
pow_alt_inline,4,2,,,20932503.0,events,654108
pow_alt_inline,4,2,,,21200855.0,events,662494
pow_alt_inline,4,2,,,21473430.0,events,670880
pow_alt_inline,4,2,,,21737559.0,events,679266
pow_alt_inline,4,2,,,22010135.0,events,687652
pow_alt_inline,4,2,,,22274263.0,events,696038
pow_alt_inline,4,2,,,22542615.0,events,704424
pow_alt_inline,4,2,,,22815486.0,events,712810
pow_alt_inline,4,2,,,23079319.0,events,721196
pow_alt_inline,4,2,,,23351884.0,events,729582
pow_alt_inline,4,2,,,23616023.0,events,737968
pow_alt_inline,4,2,,,23884375.0,events,746354
pow_alt_inline,4,2,,,24156940.0,events,754740
pow_alt_inline,4,2,,,24421079.0,events,763126
pow_alt_inline,4,2,,,24693795.0,events,771512
pow_alt_inline,4,2,,,24957783.0,events,779898
pow_alt_inline,4,2,,,25231996.0,events,788284
pow_alt_inline,4,2,,,25494487.0,events,796670
pow_alt_inline,4,2,,,25762839.0,events,805056
pow_alt_inline,4,2,,,26035404.0,events,813442
pow_alt_inline,4,2,,,26299543.0,events,821828
pow_alt_inline,4,2,,,26572256.0,events,830214
pow_alt_inline,4,2,,,26836247.0,events,838600
