group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_std,3,0,,,251647.0,events,11391
pow_std,3,0,,,502249.0,events,22782
pow_std,3,0,,,752851.0,events,34173
pow_std,3,0,,,1003453.0,events,45564
pow_std,3,0,,,1254055.0,events,56955
pow_std,3,0,,,1504657.0,events,68346
pow_std,3,0,,,1755259.0,events,79737
pow_std,3,0,,,2005861.0,events,91128
pow_std,3,0,,,2256463.0,events,102519
pow_std,3,0,,,2507065.0,events,113910
pow_std,3,0,,,2757667.0,events,125301
pow_std,3,0,,,3008269.0,events,136692
pow_std,3,0,,,3258871.0,events,148083
pow_std,3,0,,,3509473.0,events,159474
pow_std,3,0,,,3760075.0,events,170865
pow_std,3,0,,,4010677.0,events,182256
pow_std,3,0,,,4261279.0,events,193647
pow_std,3,0,,,4518517.0,events,205038
pow_std,3,0,,,4762483.0,events,216429
pow_std,3,0,,,5013085.0,events,227820
pow_std,3,0,,,5263687.0,events,239211
pow_std,3,0,,,5514289.0,events,250602
pow_std,3,0,,,5764891.0,events,261993
pow_std,3,0,,,6015493.0,events,273384
pow_std,3,0,,,6266095.0,events,284775
pow_std,3,0,,,6516697.0,events,296166
pow_std,3,0,,,6771460.0,events,307557
pow_std,3,0,,,7017901.0,events,318948
pow_std,3,0,,,7268503.0,events,330339
pow_std,3,0,,,7519105.0,events,341730
pow_std,3,0,,,7769707.0,events,353121
pow_std,3,0,,,8020309.0,events,364512
pow_std,3,0,,,8275391.0,events,375903
pow_std,3,0,,,8521513.0,events,387294
pow_std,3,0,,,8772115.0,events,398685
pow_std,3,0,,,9022717.0,events,410076
pow_std,3,0,,,9273319.0,events,421467
pow_std,3,0,,,9523921.0,events,432858
pow_std,3,0,,,9778695.0,events,444249
pow_std,3,0,,,10025125.0,events,455640
pow_std,3,0,,,10275727.0,events,467031
pow_std,3,0,,,10526329.0,events,478422
pow_std,3,0,,,10776931.0,events,489813
pow_std,3,0,,,11031716.0,events,501204
pow_std,3,0,,,11278135.0,events,512595
pow_std,3,0,,,11528737.0,events,523986
pow_std,3,0,,,11779339.0,events,535377
pow_std,3,0,,,12034266.0,events,546768
pow_std,3,0,,,12280543.0,events,558159
pow_std,3,0,,,12531145.0,events,569550
pow_std,3,0,,,12781747.0,events,580941
pow_std,3,0,,,13036529.0,events,592332
pow_std,3,0,,,13282951.0,events,603723
pow_std,3,0,,,13533553.0,events,615114
pow_std,3,0,,,13784155.0,events,626505
pow_std,3,0,,,14038934.0,events,637896
pow_std,3,0,,,14285359.0,events,649287
pow_std,3,0,,,14535961.0,events,660678
pow_std,3,0,,,14790940.0,events,672069
pow_std,3,0,,,15037165.0,events,683460
pow_std,3,0,,,15287767.0,events,694851
pow_std,3,0,,,15542530.0,events,706242
pow_std,3,0,,,15788971.0,events,717633
pow_std,3,0,,,16039573.0,events,729024
pow_std,3,0,,,16294336.0,events,740415
pow_std,3,0,,,16540777.0,events,751806
pow_std,3,0,,,16791379.0,events,763197
pow_std,3,0,,,17046451.0,events,774588
pow_std,3,0,,,17292583.0,events,785979
pow_std,3,0,,,17543185.0,events,797370
pow_std,3,0,,,17797970.0,events,808761
pow_std,3,0,,,18044389.0,events,820152
pow_std,3,0,,,18294991.0,events,831543
pow_std,3,0,,,18549754.0,events,842934
pow_std,3,0,,,18796195.0,events,854325
pow_std,3,0,,,19046797.0,events,865716
pow_std,3,0,,,19301718.0,events,877107
pow_std,3,0,,,19548001.0,events,888498
pow_std,3,0,,,19802775.0,events,899889
pow_std,3,0,,,20049205.0,events,911280
pow_std,3,0,,,20299807.0,events,922671
pow_std,3,0,,,20554570.0,events,934062
pow_std,3,0,,,20801011.0,events,945453
pow_std,3,0,,,21055922.0,events,956844
pow_std,3,0,,,21302215.0,events,968235
pow_std,3,0,,,21556978.0,events,979626
pow_std,3,0,,,21803419.0,events,991017
pow_std,3,0,,,22054021.0,events,1002408
pow_std,3,0,,,22308784.0,events,1013799
pow_std,3,0,,,22555225.0,events,1025190
pow_std,3,0,,,22813534.0,events,1036581
pow_std,3,0,,,23056429.0,events,1047972
pow_std,3,0,,,23311176.0,events,1059363
pow_std,3,0,,,23557633.0,events,1070754
pow_std,3,0,,,23812396.0,events,1082145
pow_std,3,0,,,24058837.0,events,1093536
pow_std,3,0,,,24313748.0,events,1104927
pow_std,3,0,,,24560041.0,events,1116318
pow_std,3,0,,,24814804.0,events,1127709
pow_std,3,0,,,25061245.0,events,1139100
