group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_std,5,3,,,252673.0,events,6452
pow_std,5,3,,,504301.0,events,12904
pow_std,5,3,,,755929.0,events,19356
pow_std,5,3,,,1007557.0,events,25808
pow_std,5,3,,,1259185.0,events,32260
pow_std,5,3,,,1510813.0,events,38712
pow_std,5,3,,,1762441.0,events,45164
pow_std,5,3,,,2014069.0,events,51616
pow_std,5,3,,,2265697.0,events,58068
pow_std,5,3,,,2517325.0,events,64520
pow_std,5,3,,,2768953.0,events,70972
pow_std,5,3,,,3020581.0,events,77424
pow_std,5,3,,,3272209.0,events,83876
pow_std,5,3,,,3523837.0,events,90328
pow_std,5,3,,,3775465.0,events,96780
pow_std,5,3,,,4027093.0,events,103232
pow_std,5,3,,,4278721.0,events,109684
pow_std,5,3,,,4530349.0,events,116136
pow_std,5,3,,,4781977.0,events,122588
pow_std,5,3,,,5033605.0,events,129040
pow_std,5,3,,,5285233.0,events,135492
pow_std,5,3,,,5536861.0,events,141944
pow_std,5,3,,,5788489.0,events,148396
pow_std,5,3,,,6040117.0,events,154848
pow_std,5,3,,,6296007.0,events,161300
pow_std,5,3,,,6543373.0,events,167752
pow_std,5,3,,,6795001.0,events,174204
pow_std,5,3,,,7046629.0,events,180656
pow_std,5,3,,,7298257.0,events,187108
pow_std,5,3,,,7549885.0,events,193560
pow_std,5,3,,,7801513.0,events,200012
pow_std,5,3,,,8053141.0,events,206464
pow_std,5,3,,,8308886.0,events,212916
pow_std,5,3,,,8556397.0,events,219368
pow_std,5,3,,,8808025.0,events,225820
pow_std,5,3,,,9059653.0,events,232272
pow_std,5,3,,,9311281.0,events,238724
pow_std,5,3,,,9562909.0,events,245176
pow_std,5,3,,,9818677.0,events,251628
pow_std,5,3,,,10066165.0,events,258080
pow_std,5,3,,,10317793.0,events,264532
pow_std,5,3,,,10569421.0,events,270984
pow_std,5,3,,,10821049.0,events,277436
pow_std,5,3,,,11079239.0,events,283888
pow_std,5,3,,,11324305.0,events,290340
pow_std,5,3,,,11575933.0,events,296792
pow_std,5,3,,,11827561.0,events,303244
pow_std,5,3,,,12079189.0,events,309696
pow_std,5,3,,,12334950.0,events,316148
pow_std,5,3,,,12582445.0,events,322600
pow_std,5,3,,,12834073.0,events,329052
pow_std,5,3,,,13085701.0,events,335504
pow_std,5,3,,,13341511.0,events,341956
pow_std,5,3,,,13588957.0,events,348408
pow_std,5,3,,,13840585.0,events,354860
pow_std,5,3,,,14092213.0,events,361312
pow_std,5,3,,,14348103.0,events,367764
pow_std,5,3,,,14595469.0,events,374216
pow_std,5,3,,,14847097.0,events,380668
pow_std,5,3,,,15098725.0,events,387120
pow_std,5,3,,,15354467.0,events,393572
pow_std,5,3,,,15601981.0,events,400024
pow_std,5,3,,,15853609.0,events,406476
pow_std,5,3,,,16109354.0,events,412928
pow_std,5,3,,,16356865.0,events,419380
pow_std,5,3,,,16608493.0,events,425832
pow_std,5,3,,,16860121.0,events,432284
pow_std,5,3,,,17116011.0,events,438736
pow_std,5,3,,,17363377.0,events,445188
pow_std,5,3,,,17615005.0,events,451640
pow_std,5,3,,,17870747.0,events,458092
pow_std,5,3,,,18118261.0,events,464544
pow_std,5,3,,,18369889.0,events,470996
pow_std,5,3,,,18625653.0,events,477448
pow_std,5,3,,,18873145.0,events,483900
pow_std,5,3,,,19124773.0,events,490352
pow_std,5,3,,,19380663.0,events,496804
pow_std,5,3,,,19628029.0,events,503256
pow_std,5,3,,,19879657.0,events,509708
pow_std,5,3,,,20135399.0,events,516160
pow_std,5,3,,,20382913.0,events,522612
pow_std,5,3,,,20638668.0,events,529064
pow_std,5,3,,,20886169.0,events,535516
pow_std,5,3,,,21137797.0,events,541968
pow_std,5,3,,,21393698.0,events,548420
pow_std,5,3,,,21641053.0,events,554872
pow_std,5,3,,,21892681.0,events,561324
pow_std,5,3,,,22148423.0,events,567776
pow_std,5,3,,,22395937.0,events,574228
pow_std,5,3,,,22651679.0,events,580680
pow_std,5,3,,,22899193.0,events,587132
pow_std,5,3,,,23155083.0,events,593584
pow_std,5,3,,,23402449.0,events,600036
pow_std,5,3,,,23654077.0,events,606488
pow_std,5,3,,,23913214.0,events,612940
pow_std,5,3,,,24157333.0,events,619392
pow_std,5,3,,,24413059.0,events,625844
pow_std,5,3,,,24660589.0,events,632296
pow_std,5,3,,,24916422.0,events,638748
pow_std,5,3,,,25163845.0,events,645200
