group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_std_2opt,1,0,,,228970.0,events,9117
pow_std_2opt,1,0,,,456895.0,events,18234
pow_std_2opt,1,0,,,684820.0,events,27351
pow_std_2opt,1,0,,,912745.0,events,36468
pow_std_2opt,1,0,,,1140670.0,events,45585
pow_std_2opt,1,0,,,1368595.0,events,54702
pow_std_2opt,1,0,,,1596520.0,events,63819
pow_std_2opt,1,0,,,1824445.0,events,72936
pow_std_2opt,1,0,,,2052370.0,events,82053
pow_std_2opt,1,0,,,2280295.0,events,91170
pow_std_2opt,1,0,,,2508220.0,events,100287
pow_std_2opt,1,0,,,2736145.0,events,109404
pow_std_2opt,1,0,,,2964070.0,events,118521
pow_std_2opt,1,0,,,3191995.0,events,127638
pow_std_2opt,1,0,,,3419920.0,events,136755
pow_std_2opt,1,0,,,3647845.0,events,145872
pow_std_2opt,1,0,,,3875770.0,events,154989
pow_std_2opt,1,0,,,4103695.0,events,164106
pow_std_2opt,1,0,,,4335807.0,events,173223
pow_std_2opt,1,0,,,4559545.0,events,182340
pow_std_2opt,1,0,,,4787470.0,events,191457
pow_std_2opt,1,0,,,5015395.0,events,200574
pow_std_2opt,1,0,,,5243320.0,events,209691
pow_std_2opt,1,0,,,5471245.0,events,218808
pow_std_2opt,1,0,,,5699170.0,events,227925
pow_std_2opt,1,0,,,5927095.0,events,237042
pow_std_2opt,1,0,,,6155020.0,events,246159
pow_std_2opt,1,0,,,6387118.0,events,255276
pow_std_2opt,1,0,,,6610870.0,events,264393
pow_std_2opt,1,0,,,6838795.0,events,273510
pow_std_2opt,1,0,,,7066720.0,events,282627
pow_std_2opt,1,0,,,7294645.0,events,291744
pow_std_2opt,1,0,,,7522570.0,events,300861
pow_std_2opt,1,0,,,7750495.0,events,309978
pow_std_2opt,1,0,,,7982741.0,events,319095
pow_std_2opt,1,0,,,8206345.0,events,328212
pow_std_2opt,1,0,,,8434270.0,events,337329
pow_std_2opt,1,0,,,8662195.0,events,346446
pow_std_2opt,1,0,,,8890120.0,events,355563
pow_std_2opt,1,0,,,9118045.0,events,364680
pow_std_2opt,1,0,,,9350143.0,events,373797
pow_std_2opt,1,0,,,9573895.0,events,382914
pow_std_2opt,1,0,,,9801820.0,events,392031
pow_std_2opt,1,0,,,10029745.0,events,401148
pow_std_2opt,1,0,,,10257670.0,events,410265
pow_std_2opt,1,0,,,10489768.0,events,419382
pow_std_2opt,1,0,,,10713520.0,events,428499
pow_std_2opt,1,0,,,10941445.0,events,437616
pow_std_2opt,1,0,,,11169370.0,events,446733
pow_std_2opt,1,0,,,11401616.0,events,455850
pow_std_2opt,1,0,,,11625220.0,events,464967
pow_std_2opt,1,0,,,11853145.0,events,474084
pow_std_2opt,1,0,,,12081070.0,events,483201
pow_std_2opt,1,0,,,12313193.0,events,492318
pow_std_2opt,1,0,,,12536920.0,events,501435
pow_std_2opt,1,0,,,12764845.0,events,510552
pow_std_2opt,1,0,,,12992770.0,events,519669
pow_std_2opt,1,0,,,13224868.0,events,528786
pow_std_2opt,1,0,,,13448620.0,events,537903
pow_std_2opt,1,0,,,13676545.0,events,547020
pow_std_2opt,1,0,,,13908791.0,events,556137
pow_std_2opt,1,0,,,14132395.0,events,565254
pow_std_2opt,1,0,,,14360320.0,events,574371
pow_std_2opt,1,0,,,14588245.0,events,583488
pow_std_2opt,1,0,,,14820343.0,events,592605
pow_std_2opt,1,0,,,15044095.0,events,601722
pow_std_2opt,1,0,,,15272020.0,events,610839
pow_std_2opt,1,0,,,15504128.0,events,619956
pow_std_2opt,1,0,,,15727870.0,events,629073
pow_std_2opt,1,0,,,15955795.0,events,638190
pow_std_2opt,1,0,,,16188052.0,events,647307
pow_std_2opt,1,0,,,16411645.0,events,656424
pow_std_2opt,1,0,,,16639570.0,events,665541
pow_std_2opt,1,0,,,16871826.0,events,674658
pow_std_2opt,1,0,,,17095420.0,events,683775
pow_std_2opt,1,0,,,17323345.0,events,692892
pow_std_2opt,1,0,,,17555443.0,events,702009
pow_std_2opt,1,0,,,17779195.0,events,711126
pow_std_2opt,1,0,,,18007120.0,events,720243
pow_std_2opt,1,0,,,18239388.0,events,729360
pow_std_2opt,1,0,,,18462970.0,events,738477
pow_std_2opt,1,0,,,18695068.0,events,747594
pow_std_2opt,1,0,,,18918820.0,events,756711
pow_std_2opt,1,0,,,19146745.0,events,765828
pow_std_2opt,1,0,,,19378846.0,events,774945
pow_std_2opt,1,0,,,19602595.0,events,784062
pow_std_2opt,1,0,,,19834841.0,events,793179
pow_std_2opt,1,0,,,20058445.0,events,802296
pow_std_2opt,1,0,,,20286370.0,events,811413
pow_std_2opt,1,0,,,20518468.0,events,820530
pow_std_2opt,1,0,,,20742220.0,events,829647
pow_std_2opt,1,0,,,20974318.0,events,838764
pow_std_2opt,1,0,,,21198070.0,events,847881
pow_std_2opt,1,0,,,21430316.0,events,856998
pow_std_2opt,1,0,,,21653920.0,events,866115
pow_std_2opt,1,0,,,21881845.0,events,875232
pow_std_2opt,1,0,,,22117529.0,events,884349
pow_std_2opt,1,0,,,22337695.0,events,893466
pow_std_2opt,1,0,,,22569826.0,events,902583
pow_std_2opt,1,0,,,22793545.0,events,911700
