group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_std_2opt,4,0,,,234995.0,events,9358
pow_std_2opt,4,0,,,468945.0,events,18716
pow_std_2opt,4,0,,,702895.0,events,28074
pow_std_2opt,4,0,,,936845.0,events,37432
pow_std_2opt,4,0,,,1170795.0,events,46790
pow_std_2opt,4,0,,,1404745.0,events,56148
pow_std_2opt,4,0,,,1638695.0,events,65506
pow_std_2opt,4,0,,,1872645.0,events,74864
pow_std_2opt,4,0,,,2110891.0,events,84222
pow_std_2opt,4,0,,,2340545.0,events,93580
pow_std_2opt,4,0,,,2574495.0,events,102938
pow_std_2opt,4,0,,,2808445.0,events,112296
pow_std_2opt,4,0,,,3042395.0,events,121654
pow_std_2opt,4,0,,,3276345.0,events,131012
pow_std_2opt,4,0,,,3510295.0,events,140370
pow_std_2opt,4,0,,,3744245.0,events,149728
pow_std_2opt,4,0,,,3978195.0,events,159086
pow_std_2opt,4,0,,,4212145.0,events,168444
pow_std_2opt,4,0,,,4446095.0,events,177802
pow_std_2opt,4,0,,,4680045.0,events,187160
pow_std_2opt,4,0,,,4913995.0,events,196518
pow_std_2opt,4,0,,,5152232.0,events,205876
pow_std_2opt,4,0,,,5381895.0,events,215234
pow_std_2opt,4,0,,,5615845.0,events,224592
pow_std_2opt,4,0,,,5849795.0,events,233950
pow_std_2opt,4,0,,,6083745.0,events,243308
pow_std_2opt,4,0,,,6317695.0,events,252666
pow_std_2opt,4,0,,,6551645.0,events,262024
pow_std_2opt,4,0,,,6785595.0,events,271382
pow_std_2opt,4,0,,,7023671.0,events,280740
pow_std_2opt,4,0,,,7253495.0,events,290098
pow_std_2opt,4,0,,,7487445.0,events,299456
pow_std_2opt,4,0,,,7721395.0,events,308814
pow_std_2opt,4,0,,,7955345.0,events,318172
pow_std_2opt,4,0,,,8189295.0,events,327530
pow_std_2opt,4,0,,,8427519.0,events,336888
pow_std_2opt,4,0,,,8657195.0,events,346246
pow_std_2opt,4,0,,,8891145.0,events,355604
pow_std_2opt,4,0,,,9125095.0,events,364962
pow_std_2opt,4,0,,,9359045.0,events,374320
pow_std_2opt,4,0,,,9592995.0,events,383678
pow_std_2opt,4,0,,,9831071.0,events,393036
pow_std_2opt,4,0,,,10060895.0,events,402394
pow_std_2opt,4,0,,,10294845.0,events,411752
pow_std_2opt,4,0,,,10528795.0,events,421110
pow_std_2opt,4,0,,,10766881.0,events,430468
pow_std_2opt,4,0,,,10996695.0,events,439826
pow_std_2opt,4,0,,,11230645.0,events,449184
pow_std_2opt,4,0,,,11464595.0,events,458542
pow_std_2opt,4,0,,,11698545.0,events,467900
pow_std_2opt,4,0,,,11936783.0,events,477258
pow_std_2opt,4,0,,,12166445.0,events,486616
pow_std_2opt,4,0,,,12400395.0,events,495974
pow_std_2opt,4,0,,,12634345.0,events,505332
pow_std_2opt,4,0,,,12872421.0,events,514690
pow_std_2opt,4,0,,,13102245.0,events,524048
pow_std_2opt,4,0,,,13336195.0,events,533406
pow_std_2opt,4,0,,,13574337.0,events,542764
pow_std_2opt,4,0,,,13804095.0,events,552122
pow_std_2opt,4,0,,,14038045.0,events,561480
pow_std_2opt,4,0,,,14271995.0,events,570838
pow_std_2opt,4,0,,,14510219.0,events,580196
pow_std_2opt,4,0,,,14739895.0,events,589554
pow_std_2opt,4,0,,,14973845.0,events,598912
pow_std_2opt,4,0,,,15211921.0,events,608270
pow_std_2opt,4,0,,,15441745.0,events,617628
pow_std_2opt,4,0,,,15675695.0,events,626986
pow_std_2opt,4,0,,,15913771.0,events,636344
pow_std_2opt,4,0,,,16143595.0,events,645702
pow_std_2opt,4,0,,,16377545.0,events,655060
pow_std_2opt,4,0,,,16615769.0,events,664418
pow_std_2opt,4,0,,,16845445.0,events,673776
pow_std_2opt,4,0,,,17079395.0,events,683134
pow_std_2opt,4,0,,,17317471.0,events,692492
pow_std_2opt,4,0,,,17547295.0,events,701850
pow_std_2opt,4,0,,,17781245.0,events,711208
pow_std_2opt,4,0,,,18019321.0,events,720566
pow_std_2opt,4,0,,,18249145.0,events,729924
pow_std_2opt,4,0,,,18487379.0,events,739282
pow_std_2opt,4,0,,,18717045.0,events,748640
pow_std_2opt,4,0,,,18950995.0,events,757998
pow_std_2opt,4,0,,,19189107.0,events,767356
pow_std_2opt,4,0,,,19418895.0,events,776714
pow_std_2opt,4,0,,,19656971.0,events,786072
pow_std_2opt,4,0,,,19886795.0,events,795430
pow_std_2opt,4,0,,,20120745.0,events,804788
pow_std_2opt,4,0,,,20359127.0,events,814146
pow_std_2opt,4,0,,,20588645.0,events,823504
pow_std_2opt,4,0,,,20826721.0,events,832862
pow_std_2opt,4,0,,,21056545.0,events,842220
pow_std_2opt,4,0,,,21290495.0,events,851578
pow_std_2opt,4,0,,,21528514.0,events,860936
pow_std_2opt,4,0,,,21758395.0,events,870294
pow_std_2opt,4,0,,,21996562.0,events,879652
pow_std_2opt,4,0,,,22226295.0,events,889010
pow_std_2opt,4,0,,,22464314.0,events,898368
pow_std_2opt,4,0,,,22694195.0,events,907726
pow_std_2opt,4,0,,,22932214.0,events,917084
pow_std_2opt,4,0,,,23162095.0,events,926442
pow_std_2opt,4,0,,,23400284.0,events,935800
