group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u8::pow,1,2,,,112737.0,events,3285
u8::pow,1,2,,,224427.0,events,6570
u8::pow,1,2,,,337860.0,events,9855
u8::pow,1,2,,,447807.0,events,13140
u8::pow,1,2,,,559497.0,events,16425
u8::pow,1,2,,,671187.0,events,19710
u8::pow,1,2,,,789781.0,events,22995
u8::pow,1,2,,,894567.0,events,26280
u8::pow,1,2,,,1006257.0,events,29565
u8::pow,1,2,,,1117947.0,events,32850
u8::pow,1,2,,,1229637.0,events,36135
u8::pow,1,2,,,1341327.0,events,39420
u8::pow,1,2,,,1453017.0,events,42705
u8::pow,1,2,,,1564707.0,events,45990
u8::pow,1,2,,,1676397.0,events,49275
u8::pow,1,2,,,1788087.0,events,52560
u8::pow,1,2,,,1899777.0,events,55845
u8::pow,1,2,,,2016294.0,events,59130
u8::pow,1,2,,,2123157.0,events,62415
u8::pow,1,2,,,2234847.0,events,65700
u8::pow,1,2,,,2346537.0,events,68985
u8::pow,1,2,,,2458227.0,events,72270
u8::pow,1,2,,,2569917.0,events,75555
u8::pow,1,2,,,2681607.0,events,78840
u8::pow,1,2,,,2793297.0,events,82125
u8::pow,1,2,,,2904987.0,events,85410
u8::pow,1,2,,,3016677.0,events,88695
u8::pow,1,2,,,3133035.0,events,91980
u8::pow,1,2,,,3240057.0,events,95265
u8::pow,1,2,,,3351747.0,events,98550
u8::pow,1,2,,,3463437.0,events,101835
u8::pow,1,2,,,3575127.0,events,105120
u8::pow,1,2,,,3686817.0,events,108405
u8::pow,1,2,,,3798507.0,events,111690
u8::pow,1,2,,,3914585.0,events,114975
u8::pow,1,2,,,4021887.0,events,118260
u8::pow,1,2,,,4133577.0,events,121545
u8::pow,1,2,,,4245267.0,events,124830
u8::pow,1,2,,,4356957.0,events,128115
u8::pow,1,2,,,4468647.0,events,131400
u8::pow,1,2,,,4584870.0,events,134685
u8::pow,1,2,,,4692027.0,events,137970
u8::pow,1,2,,,4803717.0,events,141255
u8::pow,1,2,,,4915407.0,events,144540
u8::pow,1,2,,,5027097.0,events,147825
u8::pow,1,2,,,5145472.0,events,151110
u8::pow,1,2,,,5250477.0,events,154395
u8::pow,1,2,,,5362167.0,events,157680
u8::pow,1,2,,,5473857.0,events,160965
u8::pow,1,2,,,5591647.0,events,164250
u8::pow,1,2,,,5697237.0,events,167535
u8::pow,1,2,,,5808927.0,events,170820
u8::pow,1,2,,,5920617.0,events,174105
u8::pow,1,2,,,6036659.0,events,177390
u8::pow,1,2,,,6143997.0,events,180675
u8::pow,1,2,,,6255687.0,events,183960
u8::pow,1,2,,,6367377.0,events,187245
u8::pow,1,2,,,6483287.0,events,190530
u8::pow,1,2,,,6590757.0,events,193815
u8::pow,1,2,,,6702447.0,events,197100
u8::pow,1,2,,,6814137.0,events,200385
u8::pow,1,2,,,6930047.0,events,203670
u8::pow,1,2,,,7037517.0,events,206955
u8::pow,1,2,,,7149207.0,events,210240
u8::pow,1,2,,,7260897.0,events,213525
u8::pow,1,2,,,7376955.0,events,216810
u8::pow,1,2,,,7484277.0,events,220095
u8::pow,1,2,,,7595967.0,events,223380
u8::pow,1,2,,,7711880.0,events,226665
u8::pow,1,2,,,7819347.0,events,229950
u8::pow,1,2,,,7931037.0,events,233235
u8::pow,1,2,,,8046947.0,events,236520
u8::pow,1,2,,,8154417.0,events,239805
u8::pow,1,2,,,8266107.0,events,243090
u8::pow,1,2,,,8382165.0,events,246375
u8::pow,1,2,,,8489487.0,events,249660
u8::pow,1,2,,,8601177.0,events,252945
u8::pow,1,2,,,8717109.0,events,256230
u8::pow,1,2,,,8824557.0,events,259515
u8::pow,1,2,,,8936247.0,events,262800
u8::pow,1,2,,,9052157.0,events,266085
u8::pow,1,2,,,9159627.0,events,269370
u8::pow,1,2,,,9275685.0,events,272655
u8::pow,1,2,,,9383007.0,events,275940
u8::pow,1,2,,,9494697.0,events,279225
u8::pow,1,2,,,9610607.0,events,282510
u8::pow,1,2,,,9718077.0,events,285795
u8::pow,1,2,,,9829767.0,events,289080
u8::pow,1,2,,,9945680.0,events,292365
u8::pow,1,2,,,10053147.0,events,295650
u8::pow,1,2,,,10169215.0,events,298935
u8::pow,1,2,,,10276527.0,events,302220
u8::pow,1,2,,,10388217.0,events,305505
u8::pow,1,2,,,10504138.0,events,308790
u8::pow,1,2,,,10611597.0,events,312075
u8::pow,1,2,,,10727507.0,events,315360
u8::pow,1,2,,,10834977.0,events,318645
u8::pow,1,2,,,10951215.0,events,321930
u8::pow,1,2,,,11058357.0,events,325215
u8::pow,1,2,,,11174267.0,events,328500
