group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u8::pow,5,3,,,123855.0,events,3612
u8::pow,5,3,,,246663.0,events,7224
u8::pow,5,3,,,369471.0,events,10836
u8::pow,5,3,,,492279.0,events,14448
u8::pow,5,3,,,615087.0,events,18060
u8::pow,5,3,,,737895.0,events,21672
u8::pow,5,3,,,860703.0,events,25284
u8::pow,5,3,,,983511.0,events,28896
u8::pow,5,3,,,1106319.0,events,32508
u8::pow,5,3,,,1229127.0,events,36120
u8::pow,5,3,,,1351935.0,events,39732
u8::pow,5,3,,,1474743.0,events,43344
u8::pow,5,3,,,1597551.0,events,46956
u8::pow,5,3,,,1720359.0,events,50568
u8::pow,5,3,,,1843167.0,events,54180
u8::pow,5,3,,,1965975.0,events,57792
u8::pow,5,3,,,2088783.0,events,61404
u8::pow,5,3,,,2211591.0,events,65016
u8::pow,5,3,,,2338528.0,events,68628
u8::pow,5,3,,,2457207.0,events,72240
u8::pow,5,3,,,2580015.0,events,75852
u8::pow,5,3,,,2702823.0,events,79464
u8::pow,5,3,,,2825631.0,events,83076
u8::pow,5,3,,,2948439.0,events,86688
u8::pow,5,3,,,3071247.0,events,90300
u8::pow,5,3,,,3194055.0,events,93912
u8::pow,5,3,,,3321159.0,events,97524
u8::pow,5,3,,,3439671.0,events,101136
u8::pow,5,3,,,3562479.0,events,104748
u8::pow,5,3,,,3685287.0,events,108360
u8::pow,5,3,,,3808095.0,events,111972
u8::pow,5,3,,,3930903.0,events,115584
u8::pow,5,3,,,4053711.0,events,119196
u8::pow,5,3,,,4180645.0,events,122808
u8::pow,5,3,,,4299327.0,events,126420
u8::pow,5,3,,,4422135.0,events,130032
u8::pow,5,3,,,4544943.0,events,133644
u8::pow,5,3,,,4667751.0,events,137256
u8::pow,5,3,,,4794843.0,events,140868
u8::pow,5,3,,,4913367.0,events,144480
u8::pow,5,3,,,5036175.0,events,148092
u8::pow,5,3,,,5158983.0,events,151704
u8::pow,5,3,,,5281791.0,events,155316
u8::pow,5,3,,,5408873.0,events,158928
u8::pow,5,3,,,5527407.0,events,162540
u8::pow,5,3,,,5650215.0,events,166152
u8::pow,5,3,,,5773023.0,events,169764
u8::pow,5,3,,,5895831.0,events,173376
u8::pow,5,3,,,6022765.0,events,176988
u8::pow,5,3,,,6141447.0,events,180600
u8::pow,5,3,,,6264255.0,events,184212
u8::pow,5,3,,,6387063.0,events,187824
u8::pow,5,3,,,6513997.0,events,191436
u8::pow,5,3,,,6632679.0,events,195048
u8::pow,5,3,,,6755487.0,events,198660
u8::pow,5,3,,,6882569.0,events,202272
u8::pow,5,3,,,7001103.0,events,205884
u8::pow,5,3,,,7123911.0,events,209496
u8::pow,5,3,,,7246719.0,events,213108
u8::pow,5,3,,,7373653.0,events,216720
u8::pow,5,3,,,7492335.0,events,220332
u8::pow,5,3,,,7615143.0,events,223944
u8::pow,5,3,,,7742099.0,events,227556
u8::pow,5,3,,,7860759.0,events,231168
u8::pow,5,3,,,7983567.0,events,234780
u8::pow,5,3,,,8110659.0,events,238392
u8::pow,5,3,,,8229183.0,events,242004
u8::pow,5,3,,,8351991.0,events,245616
u8::pow,5,3,,,8478936.0,events,249228
u8::pow,5,3,,,8597607.0,events,252840
u8::pow,5,3,,,8720415.0,events,256452
u8::pow,5,3,,,8847507.0,events,260064
u8::pow,5,3,,,8966031.0,events,263676
u8::pow,5,3,,,9088839.0,events,267288
u8::pow,5,3,,,9215921.0,events,270900
u8::pow,5,3,,,9334455.0,events,274512
u8::pow,5,3,,,9461389.0,events,278124
u8::pow,5,3,,,9580071.0,events,281736
u8::pow,5,3,,,9702879.0,events,285348
u8::pow,5,3,,,9829813.0,events,288960
u8::pow,5,3,,,9948495.0,events,292572
u8::pow,5,3,,,10071303.0,events,296184
u8::pow,5,3,,,10198392.0,events,299796
u8::pow,5,3,,,10316919.0,events,303408
u8::pow,5,3,,,10445905.0,events,307020
u8::pow,5,3,,,10562535.0,events,310632
u8::pow,5,3,,,10689469.0,events,314244
u8::pow,5,3,,,10808151.0,events,317856
u8::pow,5,3,,,10930959.0,events,321468
u8::pow,5,3,,,11058041.0,events,325080
u8::pow,5,3,,,11176575.0,events,328692
u8::pow,5,3,,,11303509.0,events,332304
u8::pow,5,3,,,11422191.0,events,335916
u8::pow,5,3,,,11549283.0,events,339528
u8::pow,5,3,,,11667807.0,events,343140
u8::pow,5,3,,,11794889.0,events,346752
u8::pow,5,3,,,11913423.0,events,350364
u8::pow,5,3,,,12040357.0,events,353976
u8::pow,5,3,,,12159039.0,events,357588
u8::pow,5,3,,,12285973.0,events,361200
